relative_path,source_path,file_type,category,status,notes
figures/unified_q6_parity_with_dkcsr_24train6test.png,revision_validation_24train6test_dkcsr/figures/unified_q6_parity_with_dkcsr_24train6test.png,png,figure,copied,Requested manuscript-revision figures.
figures/physical_plausibility_summary_barplot.png,revision_validation_24train6test_dkcsr/figures/physical_plausibility_summary_barplot.png,png,figure,copied,Requested manuscript-revision figures.
reports/bootstrap_b2_only/fixed_parameter_prediction_uncertainty.csv,revision_validation_bootstrap_correction_24train6test/results/fixed_parameter_prediction_uncertainty.csv,csv,bootstrap_b2_only,copied,Corrected fixed-parameter uncertainty CSV related to b2-only robustness evidence.
,revision_validation_robustness_24train6test/results/dkcsr_fixed_structure_bootstrap_constants.csv,csv,manual_review,manual_review,Bootstrap-like CSV outside corrected b2-only package; not copied automatically.
,revision_validation_robustness_24train6test/results/dkcsr_fixed_structure_bootstrap_metrics.csv,csv,manual_review,manual_review,Bootstrap-like CSV outside corrected b2-only package; not copied automatically.
,revision_validation_robustness_24train6test/results/dkcsr_fixed_structure_bootstrap_test_predictions.csv,csv,manual_review,manual_review,Bootstrap-like CSV outside corrected b2-only package; not copied automatically.
,revision_validation_robustness_24train6test/results/table_bootstrap_constant_stability.csv,csv,manual_review,manual_review,Bootstrap-like CSV outside corrected b2-only package; not copied automatically.
,revision_validation_bootstrap_b2_30train6test_diagnostic/results/30train_b2_bootstrap_constants.csv,csv,manual_review,manual_review,"Potentially relevant but excluded from automatic package because it may be obsolete, optional, all30/30train diagnostic, or superseded."
,revision_validation_bootstrap_b2_30train6test_diagnostic/results/30train_b2_bootstrap_metrics.csv,csv,manual_review,manual_review,"Potentially relevant but excluded from automatic package because it may be obsolete, optional, all30/30train diagnostic, or superseded."
,revision_validation_bootstrap_b2_30train6test_diagnostic/results/30train_b2_bootstrap_test6_prediction_intervals.csv,csv,manual_review,manual_review,"Potentially relevant but excluded from automatic package because it may be obsolete, optional, all30/30train diagnostic, or superseded."
,revision_validation_bootstrap_b2_30train6test_diagnostic/results/table_24train_vs_30train_b2_comparison.csv,csv,manual_review,manual_review,"Potentially relevant but excluded from automatic package because it may be obsolete, optional, all30/30train diagnostic, or superseded."
,revision_validation_bootstrap_b2_30train6test_diagnostic/results/table_30train_b2_bootstrap_summary.csv,csv,manual_review,manual_review,"Potentially relevant but excluded from automatic package because it may be obsolete, optional, all30/30train diagnostic, or superseded."
,revision_validation_bootstrap_b2_all30_diagnostic/results/all30_b2_bootstrap_constants.csv,csv,manual_review,manual_review,"Potentially relevant but excluded from automatic package because it may be obsolete, optional, all30/30train diagnostic, or superseded."
,revision_validation_bootstrap_b2_all30_diagnostic/results/all30_b2_bootstrap_metrics.csv,csv,manual_review,manual_review,"Potentially relevant but excluded from automatic package because it may be obsolete, optional, all30/30train diagnostic, or superseded."
,revision_validation_bootstrap_b2_all30_diagnostic/results/all30_b2_bootstrap_prediction_intervals.csv,csv,manual_review,manual_review,"Potentially relevant but excluded from automatic package because it may be obsolete, optional, all30/30train diagnostic, or superseded."
,revision_validation_bootstrap_b2_all30_diagnostic/results/table_all30_b2_bootstrap_summary.csv,csv,manual_review,manual_review,"Potentially relevant but excluded from automatic package because it may be obsolete, optional, all30/30train diagnostic, or superseded."
,revision_validation_robustness_24train6test/results/table_dfdq_consistency_summary.csv,csv,manual_review,manual_review,"Potentially relevant but excluded from automatic package because it may be obsolete, optional, all30/30train diagnostic, or superseded."
,revision_validation_robustness_24train6test/results/table_repeated_split_baseline_summary.csv,csv,manual_review,manual_review,"Potentially relevant but excluded from automatic package because it may be obsolete, optional, all30/30train diagnostic, or superseded."
