relative_path,source_path,code_category,file_type,status,notes
code/bootstrap_b2_only/_corrected_bootstrap_common.py,revision_validation_bootstrap_correction_24train6test/_corrected_bootstrap_common.py,bootstrap_b2_only,py,copied,Corrected fixed-structure bootstrap and fixed-parameter uncertainty code with numerator coefficient a=2 fixed.
code/bootstrap_b2_only/corrected_bootstrap_config.json,revision_validation_bootstrap_correction_24train6test/config/corrected_bootstrap_config.json,bootstrap_b2_only,json,copied,Corrected fixed-structure bootstrap and fixed-parameter uncertainty code with numerator coefficient a=2 fixed.
code/plotting_and_audits/03_physical_plausibility_audit_static_vs_dkcsr.py,revision_validation_24train6test_dkcsr/03_physical_plausibility_audit_static_vs_dkcsr.py,plotting_audit,py,copied,Audit/plotting code for physical plausibility and DKC-SR comparison figures.
code/packaging_tools/prepare_revision_github_package.py,tools/prepare_revision_github_package.py,packaging_tool,py,copied,Script used to assemble this GitHub-ready revision evidence package.
,revision_validation_bootstrap_b2_30train6test_diagnostic/00_build_30train6test_dataset.py,manual_review,py,manual_review,"Potentially related revision code but excluded from automatic package because it is diagnostic, exploratory, qscale-specific, or not part of final R1-2/R1-5 evidence."
,revision_validation_bootstrap_b2_30train6test_diagnostic/01_30train_b2_refit_sanity_check.py,manual_review,py,manual_review,"Potentially related revision code but excluded from automatic package because it is diagnostic, exploratory, qscale-specific, or not part of final R1-2/R1-5 evidence."
,revision_validation_bootstrap_b2_30train6test_diagnostic/02_30train_b2_bootstrap.py,manual_review,py,manual_review,"Potentially related revision code but excluded from automatic package because it is diagnostic, exploratory, qscale-specific, or not part of final R1-2/R1-5 evidence."
,revision_validation_bootstrap_b2_30train6test_diagnostic/03_compare_24train_vs_30train_b2.py,manual_review,py,manual_review,"Potentially related revision code but excluded from automatic package because it is diagnostic, exploratory, qscale-specific, or not part of final R1-2/R1-5 evidence."
,revision_validation_bootstrap_b2_30train6test_diagnostic/04_make_30train_b2_bootstrap_summary.py,manual_review,py,manual_review,"Potentially related revision code but excluded from automatic package because it is diagnostic, exploratory, qscale-specific, or not part of final R1-2/R1-5 evidence."
,revision_validation_bootstrap_b2_30train6test_diagnostic/_30train_b2_common.py,manual_review,py,manual_review,"Potentially related revision code but excluded from automatic package because it is diagnostic, exploratory, qscale-specific, or not part of final R1-2/R1-5 evidence."
,revision_validation_bootstrap_b2_all30_diagnostic/00_build_all30_dataset.py,manual_review,py,manual_review,"Potentially related revision code but excluded from automatic package because it is diagnostic, exploratory, qscale-specific, or not part of final R1-2/R1-5 evidence."
,revision_validation_bootstrap_b2_all30_diagnostic/01_all30_b2_refit_sanity_check.py,manual_review,py,manual_review,"Potentially related revision code but excluded from automatic package because it is diagnostic, exploratory, qscale-specific, or not part of final R1-2/R1-5 evidence."
,revision_validation_bootstrap_b2_all30_diagnostic/02_all30_b2_bootstrap.py,manual_review,py,manual_review,"Potentially related revision code but excluded from automatic package because it is diagnostic, exploratory, qscale-specific, or not part of final R1-2/R1-5 evidence."
,revision_validation_bootstrap_b2_all30_diagnostic/03_compare_all30_vs_24train_sanity.py,manual_review,py,manual_review,"Potentially related revision code but excluded from automatic package because it is diagnostic, exploratory, qscale-specific, or not part of final R1-2/R1-5 evidence."
,revision_validation_bootstrap_b2_all30_diagnostic/04_make_all30_b2_bootstrap_summary.py,manual_review,py,manual_review,"Potentially related revision code but excluded from automatic package because it is diagnostic, exploratory, qscale-specific, or not part of final R1-2/R1-5 evidence."
,revision_validation_bootstrap_b2_all30_diagnostic/_all30_b2_common.py,manual_review,py,manual_review,"Potentially related revision code but excluded from automatic package because it is diagnostic, exploratory, qscale-specific, or not part of final R1-2/R1-5 evidence."
,revision_validation_qscale3008/run_qscale3008_baseline.py,manual_review,py,manual_review,"Potentially related revision code but excluded from automatic package because it is diagnostic, exploratory, qscale-specific, or not part of final R1-2/R1-5 evidence."
,revision_validation_robustness_24train6test/00_fixed_structure_dkcsr_bootstrap.py,manual_review,py,manual_review,"Potentially related revision code but excluded from automatic package because it is diagnostic, exploratory, qscale-specific, or not part of final R1-2/R1-5 evidence."
,revision_validation_robustness_24train6test/01_repeated_split_static_baselines.py,manual_review,py,manual_review,"Potentially related revision code but excluded from automatic package because it is diagnostic, exploratory, qscale-specific, or not part of final R1-2/R1-5 evidence."
,revision_validation_robustness_24train6test/02_dkcsr_dfdq_consistency_check.py,manual_review,py,manual_review,"Potentially related revision code but excluded from automatic package because it is diagnostic, exploratory, qscale-specific, or not part of final R1-2/R1-5 evidence."
,revision_validation_robustness_24train6test/03_make_robustness_summary.py,manual_review,py,manual_review,"Potentially related revision code but excluded from automatic package because it is diagnostic, exploratory, qscale-specific, or not part of final R1-2/R1-5 evidence."
,revision_validation_robustness_24train6test/_robustness_common.py,manual_review,py,manual_review,"Potentially related revision code but excluded from automatic package because it is diagnostic, exploratory, qscale-specific, or not part of final R1-2/R1-5 evidence."
,revision_validation_unconstrained_sr_24train6test/00_prepare_unconstrained_sr_config.py,manual_review,py,manual_review,"Potentially related revision code but excluded from automatic package because it is diagnostic, exploratory, qscale-specific, or not part of final R1-2/R1-5 evidence."
,revision_validation_unconstrained_sr_24train6test/01_run_unconstrained_sr_multiseed.py,manual_review,py,manual_review,"Potentially related revision code but excluded from automatic package because it is diagnostic, exploratory, qscale-specific, or not part of final R1-2/R1-5 evidence."
,revision_validation_unconstrained_sr_24train6test/02_evaluate_unconstrained_sr_candidates.py,manual_review,py,manual_review,"Potentially related revision code but excluded from automatic package because it is diagnostic, exploratory, qscale-specific, or not part of final R1-2/R1-5 evidence."
,revision_validation_unconstrained_sr_24train6test/03_physical_plausibility_unconstrained_vs_dkcsr.py,manual_review,py,manual_review,"Potentially related revision code but excluded from automatic package because it is diagnostic, exploratory, qscale-specific, or not part of final R1-2/R1-5 evidence."
,revision_validation_unconstrained_sr_24train6test/04_optimisation_safety_unconstrained_vs_dkcsr.py,manual_review,py,manual_review,"Potentially related revision code but excluded from automatic package because it is diagnostic, exploratory, qscale-specific, or not part of final R1-2/R1-5 evidence."
,revision_validation_unconstrained_sr_24train6test/05_make_unconstrained_ablation_summary.py,manual_review,py,manual_review,"Potentially related revision code but excluded from automatic package because it is diagnostic, exploratory, qscale-specific, or not part of final R1-2/R1-5 evidence."
,revision_validation_unconstrained_sr_24train6test/_ucsr_common.py,manual_review,py,manual_review,"Potentially related revision code but excluded from automatic package because it is diagnostic, exploratory, qscale-specific, or not part of final R1-2/R1-5 evidence."
,revision_validation_unconstrained_sr_structural_audit/00_expression_variable_usage_audit.py,manual_review,py,manual_review,"Potentially related revision code but excluded from automatic package because it is diagnostic, exploratory, qscale-specific, or not part of final R1-2/R1-5 evidence."
,revision_validation_unconstrained_sr_structural_audit/01_design_space_sensitivity_audit.py,manual_review,py,manual_review,"Potentially related revision code but excluded from automatic package because it is diagnostic, exploratory, qscale-specific, or not part of final R1-2/R1-5 evidence."
,revision_validation_unconstrained_sr_structural_audit/02_predictive_vs_structural_summary.py,manual_review,py,manual_review,"Potentially related revision code but excluded from automatic package because it is diagnostic, exploratory, qscale-specific, or not part of final R1-2/R1-5 evidence."
,revision_validation_unconstrained_sr_structural_audit/_structural_common.py,manual_review,py,manual_review,"Potentially related revision code but excluded from automatic package because it is diagnostic, exploratory, qscale-specific, or not part of final R1-2/R1-5 evidence."
