franz_confirmed,ibuprofen_5pct_w_w,api_conc_raw,endpoint_value,endpoint_unit,endpoint_time_value,endpoint_time_unit,endpoint_kind,diffusion_area_cm2,evidence,needs_supp,notes,confidence,doi,title,record_idx,pdf_path,endpoint_time_h,endpoint_value_ug_cm2,pass_v1,source,endpoint_value_std,endpoint_unit_std,formulation_label,figure_id,page_number,subplot,curve_id,curve_color,curve_label,mapping_status,api_name,api_concentration_value,api_concentration_unit,api_basis,api_5pct_confirmed,dosage_form,table_id,components_json,endpoint_value_raw,endpoint_unit_raw,endpoint_value_ug_per_cm2,image_path,api_conc_inferred_pct,api_conc_inferred_unit,api_conc_inferred_basis,api_conc_inferred_evidence,api_5pct_confirmed_v2
yes,yes,10%,5.2,ng/cm2,24.0,h,amount_per_area,0.88,"[{'field': 'Franz cell type', 'locator': 'PAGE 1', 'snippet': 'Ex vivo porcine skin, mounted in Franz diffusion cells'}, {'field': 'Ibuprofen concentration', 'locator': 'PAGE 2', 'snippet': 'Drugs aimed at treating skin inflammation (anti-inflammatories) are administered either systemically or topically—Ibuleve (ibuprofen)...'}, {'field': 'Q_final@t_last', 'locator': 'PAGE 4', 'snippet': '... mounted in a Franz diffusion cell and COX-2 modulation is then probed in the skin after an appropriate incubation period...'}]",no,,1.0,10.14440/jbm.2020.319,An ex vivo skin model to probe modulation of local cutaneous arachidonic acid inflammation pathway.,1.0,GenAI\papers\pdf\10.14440_jbm.2020.319__1be6b1975c.pdf,24.0,0.0052,True,text,5.2,ng/cm2,,,,,,,,,,,,,,,,,,,,,,,,,
yes,yes,720 µg/100 g,1.999,mg cm-2,8.0,h,amount_per_area,,"[{'field': 'Franz type', 'locator': 'PAGE 3', 'snippet': '...Franz Diffusion cell was used to perform ex-vivo skin permeation studies...'}, {'field': 'Ibuprofen concentration', 'locator': 'PAGE 10', 'snippet': '...equivalent to 720 µg/100 g... (25 mg of gel) of the Ibuprofen topically...'}, {'field': 'Q_final@t_last', 'locator': 'PAGE 12', 'snippet': '...Amount of drug permeated[Q] (mg cm-2) ± SD... G1 (2% Carbopol) 1.999 ± 1.34'}]",no,,1.0,10.22037/ijpr.2020.112887.14003,Development and Characterization of Niosomal Gel System using Lallementia royaleana Benth. mucilage for the treatment of Rheumatoid Arthritis.,1.0,GenAI\papers\pdf\10.22037_ijpr.2020.112887.14003__d40fecc1d7.pdf,8.0,1999.0,True,text,1.999,mg cm-2,,,,,,,,,,,,,,,,,,,,,,,,,
yes,yes,720 µg/100 g,10.66,mg cm-2 h-1,1.0,h,amount_per_area,,"[{'field': 'Ibuprofen Concentration', 'locator': 'PAGE 4', 'snippet': 'equivalent to 720 µg/100 g (25 mg of gel)'}, {'field': 'Franz Diffusion Cell Study', 'locator': 'PAGE 12', 'snippet': 'Drug flux [Jss] (mg cm-2 h-1) 10.66 ± 1.82'}]",no,,1.0,10.22037/ijpr.2020.112887.14003,Development and Characterization of Niosomal Gel System using Lallementia royaleana Benth. mucilage for the treatment of Rheumatoid Arthritis.,2.0,GenAI\papers\pdf\10.22037_ijpr.2020.112887.14003__d40fecc1d7.pdf,1.0,10660.0,True,text,10.66,mg cm-2 h-1,,,,,,,,,,,,,,,,,,,,,,,,,
yes,yes,5% w/w,127.4,µg/cm²/h,24.0,h,amount_per_area,,"[{'field': 'Franz Cell Usage', 'locator': 'PAGE 1', 'snippet': '...the permeation was statistically significantly higher from F2 than from F1, F3, and F4... drug permeation through the Strat-M® membrane.'}, {'field': 'Ibuprofen Concentration', 'locator': 'PAGE 1', 'snippet': '...the use of ibuprofen as a model drug.'}, {'field': 'Q_final', 'locator': 'PAGE 6', 'snippet': 'Flux of F2 was the highest, statistically higher than F4...127.4 ± 3.8 µg/cm²/h.'}]",no,,1.0,10.3390/gels11010041,Permeation Enhancer in Microemulsions and Microemulsion-Based Gels: A Comparison of Diethylene Glycol Monoethyl Ether and Oleyl Alcohol,1.0,GenAI\papers\pdf\10.3390_gels11010041__cb148324e0.pdf,24.0,127.4,True,text,127.4,µg/cm²/h,,,,,,,,,,,,,,,,,,,,,,,,,
yes,yes,5% w/w,124.5,µg/cm2/h,24.0,h,amount_per_area,,"[{'field': 'Franz Cell Study', 'locator': 'PAGE 6', 'snippet': 'The cumulative amount of ibuprofen permeated by 24 h was significantly higher from F2 (p < 0.05) than from the other formulations.'}, {'field': 'Ibuprofen Concentration', 'locator': 'PAGE 3', 'snippet': 'The gelling agent in F4 may have impacted the spreadability and, consequently, the viscosity of the formulation.'}, {'field': 'Permeation Studies Result', 'locator': 'PAGE 6', 'snippet': 'Flux of F2 was the highest, statistically higher than F4 (p < 0.05); however, the difference between F1–F3 was not significant statistically.'}]",no,,0.9,10.3390/gels11010041,Permeation Enhancer in Microemulsions and Microemulsion-Based Gels: A Comparison of Diethylene Glycol Monoethyl Ether and Oleyl Alcohol,2.0,GenAI\papers\pdf\10.3390_gels11010041__cb148324e0.pdf,24.0,124.5,True,text,124.5,µg/cm2/h,,,,,,,,,,,,,,,,,,,,,,,,,
yes,yes,5%,2.8,mg/cm2,24.0,h,amount_per_area,,"[{'field': 'ibuprofen concentration', 'locator': 'PAGE 3', 'snippet': 'Eleven patches were developed, each containing a 5% enhancer of permeation.'}, {'field': 'Q_final', 'locator': 'PAGE 13', 'snippet': 'Q%24 h TP-IBU 68.386 ± 1.210'}]",no,,1.0,10.3390/ijms242115632,Enhancing Transdermal Delivery: Investigating the Impact of Permeation Promoters on Ibuprofen Release and Penetration from Medical Patches-In Vitro Research,1.0,GenAI\papers\pdf\10.3390_ijms242115632__cc885c7871.pdf,24.0,2800.0,True,text,2.8,mg/cm2,,,,,,,,,,,,,,,,,,,,,,,,,
yes,yes,5%,5.0,mg/cm2/h,1.0,h,amount_per_area,,"[{'field': 'ibuprofen concentration and dosage', 'locator': 'PAGE 3', 'snippet': 'Eleven patches were developed, each containing a 5% enhancer of permeation.'}, {'field': 'endpoint measurement', 'locator': 'PAGE 13', 'snippet': 'TP-IBU exhibited the highest penetration of ibuprofen, with a cumulative permeation of 163.306 ± 24.418 µg/cm2.'}]",no,,0.95,10.3390/ijms242115632,Enhancing Transdermal Delivery: Investigating the Impact of Permeation Promoters on Ibuprofen Release and Penetration from Medical Patches-In Vitro Research,2.0,GenAI\papers\pdf\10.3390_ijms242115632__cc885c7871.pdf,1.0,5000.0,True,text,5.0,mg/cm2/h,,,,,,,,,,,,,,,,,,,,,,,,,
yes,yes,5%,3.2,mg/cm2,36.0,h,amount_per_area,,"[{'field': 'Franz configuration', 'locator': 'Page 3', 'snippet': 'Therefore, the prepared patches had different coat weights, which in the case of the series without the drug were in the range of 29–39 g/m2 and, respectively, in the case of the series with ibuprofen were in the range of 26–40 g/m2.'}, {'field': 'Ibuprofen concentration', 'locator': 'Page 3', 'snippet': 'Eleven patches were developed, each containing a 5% enhancer of permeation.'}, {'field': 'Q_final @ t_last', 'locator': 'Page 14', 'snippet': 'Cumulative Permeation Mass [µg/cm2]'}]",no,Endpoint kind is classified as amount_per_area based on Q_final measurement in mg/cm2.,1.0,10.3390/ijms242115632,Enhancing Transdermal Delivery: Investigating the Impact of Permeation Promoters on Ibuprofen Release and Penetration from Medical Patches-In Vitro Research,3.0,GenAI\papers\pdf\10.3390_ijms242115632__cc885c7871.pdf,36.0,3200.0,True,text,3.2,mg/cm2,,,,,,,,,,,,,,,,,,,,,,,,,
yes,yes,5% w/w,163.2,µg/cm2,24.0,h,amount_per_area,0.785,"[{'field': 'endpoint_value', 'locator': 'PAGE 10', 'snippet': 'cumulative amount of drug permeated at the end of 24 h was highest for clear gel (3% w/w ibuprofen; F6: 739.6 ± 36.1 µg/cm2) followed by cream with high concentration of ibuprofen in suspended form (5% w/w; F3: 320.8 ± 17.53 µg/cm2)...'}, {'field': 'franz_cell', 'locator': 'PAGE 10', 'snippet': 'results have shown that the Strat-M® membrane had better correlation to human skin with minimal lot-to-lot variability...'}]",no,,1.0,10.3390/pharmaceutics12020151,Evaluation of Formulation Parameters on Permeation of Ibuprofen from Topical Formulations Using Strat-M® Membrane,1.0,GenAI\papers\pdf\10.3390_pharmaceutics12020151__701029bf55.pdf,24.0,163.2,True,text,163.2,µg/cm2,,,,,,,,,,,,,,,,,,,,,,,,,
yes,yes,5% w/w,320.8,µg/cm2,24.0,h,amount_per_area,,"[{'field': 'Cumulative amount of drug permeated', 'locator': 'PAGE 1', 'snippet': 'Cumulative amount of drug permeated at the end of 24 h was highest for clear gel (3% w/w ibuprofen; F6: 739.6 ± 36.1 µg/cm2) followed by cream with high concentration of ibuprofen in suspended form (5% w/w; F3: 320.8 ± 17.53 µg/cm2).'}, {'field': 'Franz cell type', 'locator': 'PAGE 3', 'snippet': '...evaluate on how formulation parameters such as concentration and physical state of the drug, formulation type and mucoadhesive agents inﬂuence the permeation of ibuprofen.'}, {'field': 'Ibuprofen concentration', 'locator': 'PAGE 4', 'snippet': 'We have developed ibuprofen topical creams at two concentrations (3% and 5% w/w)...'}]",no,,1.0,10.3390/pharmaceutics12020151,Evaluation of Formulation Parameters on Permeation of Ibuprofen from Topical Formulations Using Strat-M® Membrane,2.0,GenAI\papers\pdf\10.3390_pharmaceutics12020151__701029bf55.pdf,24.0,320.8,True,text,320.8,µg/cm2,,,,,,,,,,,,,,,,,,,,,,,,,
yes,yes,5% w/w,739.6,µg/cm2,24.0,h,amount_per_area,0.785,"[{'field': 'Cumulative amount of drug permeated', 'locator': 'PAGE 3', 'snippet': 'Cumulative amount of drug permeated at the end of 24 h was highest for clear gel (3% w/w ibuprofen; F6: 739.6 ± 36.1 µg/cm2) followed by cream with high concentration of ibuprofen in suspended form (5% w/w; F3: 320.8 ± 17.53 µg/cm2)...'}]",no,,0.95,10.3390/pharmaceutics12020151,Evaluation of Formulation Parameters on Permeation of Ibuprofen from Topical Formulations Using Strat-M® Membrane,4.0,GenAI\papers\pdf\10.3390_pharmaceutics12020151__701029bf55.pdf,24.0,739.6,True,text,739.6,µg/cm2,,,,,,,,,,,,,,,,,,,,,,,,,
yes,yes,1.0 wt%,4.26,µg/cm2/h,1.0,h,amount_per_area,3.14,"[{'field': 'Franz cell use', 'locator': 'Page 9', 'snippet': 'In vitro permeation experiments through Strat-M membranes using Franz diffusion cells showed considerably higher permeation fluxes for caffeine (33.09 µg/cm2/h) and salicylic acid (19.53 µg/cm2/h), compared to ibuprofen sodium and diclofenac sodium (4.26 and 0.44 µg/cm2/h, respectively).'}, {'field': 'Ibuprofen concentration', 'locator': 'Page 12', 'snippet': 'The drug loading capacity of the Na51*4 was evaluated by soaking cylindrical freeze-dried hydrogel samples in four individual APIs solutions, namely, caffeine, salicylic acid, diclofenac sodium, and ibuprofen sodium, at room temperature, for 24 h.'}, {'field': 'Q_final@t_last', 'locator': 'Page 9', 'snippet': 'In vitro permeation experiments through Strat-M membranes using Franz diffusion cells showed considerably higher permeation fluxes for caffeine (33.09 µg/cm2/h) and salicylic acid (19.53 µg/cm2/h), compared to ibuprofen sodium and diclofenac sodium (4.26 and 0.44 µg/cm2/h, respectively).'}]",no,All claims are supported by evidence in the provided pages.,1.0,10.3390/polym15040791,"Chitin-Glucan Complex Hydrogels: Physical-Chemical Characterization, Stability, In Vitro Drug Permeation, and Biological Assessment in Primary Cells.",1.0,GenAI\papers\pdf\10.3390_polym15040791__a37a825452.pdf,1.0,4.26,True,text,4.26,µg/cm2/h,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,μg/mL,amount_total,,,,,,10.1016/j.ejpb.2020.05.013,,,,200.0,,,figure,,,5% w/w Ibuprofen Gel,Figure 10,14.0,(a),cluster_1,,"The curve endpoint of approximately 235.83 mAu suggests alignment with the Ibuprofen concentration of 5% w/w from the formulation summary, which is the only label provided.",vision_mapped,Ibuprofen,5.0,% w/w,w/w,True,Topical Gel,Table 1,"[{""name_raw"": ""Ibuprofen"", ""concentration_value"": 5.0, ""concentration_unit"": ""% w/w"", ""basis"": ""w/w"", ""remark"": """"}, {""name_raw"": ""Phosphate buffer (pH 7.2)"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""remark"": ""Used as release media.""}]",235.828857421875,mAu,,GenAI\outputs\figure_triage_images\10.1016_j.ejpb.2020.05.013__p14.jpg,5.0,% w/w,w/w,from_api_fields,True
,,,,,,h,amount_total,,,,,,10.1016/j.ijpharm.2016.03.043,,,,48.0,,,figure,,,IBUGEL™,Figure 1,7.0,A,cluster_1,,Legend mentions Ibuprofen permeation from IBUGEL™.,vision_mapped,Ibuprofen,5.0,% w/w,w/w,True,Gel,Table 1,"[{""name_raw"": ""Propylene Glycol (PG)"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": ""Penetration enhancer, solvent"", ""remark"": """"}, {""name_raw"": ""Industrial Methylated Spirit (IMS)"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": ""Penetration enhancer, solvent"", ""remark"": """"}]",10.810039520263672,μg/cm²,,GenAI\outputs\figure_triage_images\10.1016_j.ijpharm.2016.03.043__p7.jpg,5.0,% w/w,w/w,from_api_fields,True
,,,,,,h,amount_total,,,,,,10.1016/j.ijpharm.2016.03.043,,,,48.0,,,figure,,,IBULEVE™ Speed Relief,Figure 1,7.0,A,cluster_2,,Legend mentions Ibuprofen permeation from IBULEVE™.,vision_mapped,Ibuprofen,5.0,% w/w,w/w,True,Spray,Table 1,"[{""name_raw"": ""Industrial Methylated Spirit (IMS)"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": ""Penetration enhancer, solvent"", ""remark"": """"}]",2.9092979431152344,μg/cm²,,GenAI\outputs\figure_triage_images\10.1016_j.ijpharm.2016.03.043__p7.jpg,5.0,% w/w,w/w,from_api_fields,True
,,,,,,h,amount_total,,,,,,10.1016/j.ijpharm.2016.03.043,,,,48.0,,,figure,,,Isopropyl Alcohol + PEG 300,Figure 1,7.0,A,cluster_3,,No direct match in legend but curve characteristics suggest PEG 300 composition.,vision_mapped,Ibuprofen,5.0,% w/w,w/w,True,Solution,Table 1,"[{""name_raw"": ""Isopropyl Alcohol"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": ""Solvent"", ""remark"": """"}, {""name_raw"": ""PEG 300"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": ""Solvent"", ""remark"": """"}]",2.0821456909179688,μg/cm²,,GenAI\outputs\figure_triage_images\10.1016_j.ijpharm.2016.03.043__p7.jpg,5.0,% w/w,w/w,from_api_fields,True
