doi,title,pdf_path,franz_confirmed,where_franz,study_type,barrier_category,barrier_name_raw,api_conc_5pct_confirmed,api_conc_raw_snippet,endpoint_qfinal_found,endpoint_time_found,where_endpoint,endpoint_likely_in_supp,formulation_table_missing,ready_for_extraction,notes
10.1016/j.bpj.2022.10.014,Polystyrene-modified carbon nanotubes: Promising carriers in targeted drug delivery.,GenAI\papers\pdf\10.1016_j.bpj.2022.10.014__41160d2d34.pdf,no,,uncertain,uncertain,,no,,no,uncertain,,uncertain,uncertain,no,No explicit mention of Franz diffusion cell or 5% ibuprofen concentration. Endpoint information is not provided.
10.1016/j.bpj.2023.02.021,Path sampling with memory reduction and replica exchange to reach long permeation timescales.,GenAI\papers\pdf\10.1016_j.bpj.2023.02.021__bd816ab8eb.pdf,no,,uncertain,uncertain,,uncertain,,uncertain,uncertain,,uncertain,uncertain,no,
10.1016/j.cbpa.2009.12.012,Metal-organic frameworks as potential drug carriers.,GenAI\papers\pdf\10.1016_j.cbpa.2009.12.012__1290ece0a3.pdf,no,,uncertain,uncertain,,no,,uncertain,uncertain,,uncertain,uncertain,no,No explicit mention of Franz diffusion cell or specific ibuprofen concentration found.
10.1016/j.colsurfa.2022.129611,Iron-containing metal-organic framework thin film as a drug delivery system.,GenAI\papers\pdf\10.1016_j.colsurfa.2022.129611__82ceb7e0e7.pdf,no,,IVRT,synthetic_membrane,,no,,yes,yes,fig. 5,yes,uncertain,yes,"Endpoint data available, but details about specific concentrations and full formulation table are not present."
10.1016/j.ejpb.2020.05.013,Design and development of a novel fused filament fabrication (FFF) 3D printed diffusion cell with UV imaging capabilities to characterise permeation in pharmaceutical formulations.,GenAI\papers\pdf\10.1016_j.ejpb.2020.05.013__b451e1b601.pdf,yes,page 2,IVPT,synthetic_membrane,silicone membrane,yes,A 5 % w/w ibuprofen gel formulation was used as the model topical formulation.,uncertain,uncertain,,uncertain,uncertain,yes,
10.1016/j.fluid.2020.112842,"Diffusivity of <i>α</i>-, <i>β</i>-, <i>γ</i>-cyclodextrin and the inclusion complex of <i>β</i>-cyclodextrin: Ibuprofen in aqueous solutions; A molecular dynamics simulation study.",GenAI\papers\pdf\10.1016_j.fluid.2020.112842__da00bc55b2.pdf,no,,uncertain,uncertain,,uncertain,,no,no,,yes,uncertain,no,The paper discusses the diffusion and self-diffusion coefficients but does not clearly indicate the use of Franz diffusion cells or specific concentrations of ibuprofen. Supplementary material mentions force field parameters but specifics about endpoints are uncertain.
10.1016/j.heliyon.2019.e02127,Permeability of frog skin to chemicals: effect of penetration enhancers.,GenAI\papers\pdf\10.1016_j.heliyon.2019.e02127__2845bde3ad.pdf,yes,Section 2.3,IVPT,skin,frog skin,no,,yes,yes,Table 1,uncertain,no,yes,Only provides saturation solubility values and sampling times in table.
10.1016/j.ijpharm.2016.03.043,"A comparative study of the in vitro permeation of ibuprofen in mammalian skin, the PAMPA model and silicone membrane.",GenAI\papers\pdf\10.1016_j.ijpharm.2016.03.043__7008480bdc.pdf,yes,Page 4,both,both,"human skin, porcine skin, silicone membrane, PAMPA",yes,IBUGEL™ (Ibuprofen 5% w/w) and IBULEVE™ Speed Relief 5% Spray,yes,yes,Page 2 and Page 4,no,no,yes,
10.1016/j.ijpx.2023.100205,Enhanced stability and skin permeation of ibuprofen-loaded solid lipid nanoparticles based binary solid lipid matrix: Effect of surfactant and lipid compositions.,GenAI\papers\pdf\10.1016_j.ijpx.2023.100205__36b2f722d0.pdf,yes,Section 2.5,both,skin,human skin,no,,yes,yes,Section 2.5,uncertain,no,yes,"Endpoint Q_final and time reported; 5% ibuprofen concentration not explicitly confirmed, only mentions of ibuprofen loading at various %."
10.1016/j.jsps.2017.03.004,Vapour-phase method in the synthesis of polymer-ibuprofen sodium-silica gel composites.,GenAI\papers\pdf\10.1016_j.jsps.2017.03.004__e3d1f0291a.pdf,uncertain,,IVRT,uncertain,,uncertain,,uncertain,uncertain,,uncertain,uncertain,no,"Text does not explicitly mention Franz diffusion cell, the concentration of ibuprofen, or endpoints."
10.1016/j.mtcomm.2022.103205,Physicomechanical properties and in vitro release behaviors of electrospun ibuprofen-loaded blend PEO/EC fibers.,GenAI\papers\pdf\10.1016_j.mtcomm.2022.103205__6696b83bce.pdf,no,,IVRT,synthetic_membrane,,no,,no,no,,uncertain,uncertain,yes,No specific mention of Franz diffusion cell; study uses electrospun fibers in in vitro release testing.
10.1016/j.neuroscience.2012.08.058,Morphological and genetic activation of microglia after diffuse traumatic brain injury in the rat.,GenAI\papers\pdf\10.1016_j.neuroscience.2012.08.058__639064b653.pdf,no,,uncertain,uncertain,,no,,no,no,,uncertain,uncertain,no,"No mention of Franz diffusion cell, ivpt/ivrt, barrier specifics, or ibuprofen concentration."
10.1016/s0006-3495(03)74603-7,"Lateral diffusion rates of lipid, water, and a hydrophobic drug in a multilamellar liposome.",GenAI\papers\pdf\10.1016_s0006-3495_03_74603-7__c18c29e9ba.pdf,no,,uncertain,uncertain,,no,,uncertain,no,,uncertain,uncertain,no,No explicit mention of Franz diffusion cell; only mentions of ibuprofen in the context of liposomes and diffusion measurements.
10.1021/acs.langmuir.2c02497,pH-Responsive Metal-Organic Framework Thin Film for Drug Delivery.,GenAI\papers\pdf\10.1021_acs.langmuir.2c02497__57371a22bd.pdf,no,,uncertain,uncertain,,no,,no,no,,uncertain,uncertain,no,No explicit mention of Franz diffusion cell or endpoint data.
10.1021/acs.molpharmaceut.0c00515,Poly(caprolactone)-Based Coatings on 3D-Printed Biodegradable Implants: A Novel Strategy to Prolong Delivery of Hydrophilic Drugs.,GenAI\papers\pdf\10.1021_acs.molpharmaceut.0c00515__ab30082c93.pdf,yes,"Page 4, section 2.2.5",IVRT,uncertain,,no,,uncertain,yes,Section 3.2,uncertain,no,yes,
10.1021/acs.molpharmaceut.1c00988,Elucidating the Impact of Surfactants on the Performance of Dissolving Microneedle Array Patches.,GenAI\papers\pdf\10.1021_acs.molpharmaceut.1c00988__320ca28dae.pdf,yes,section 2.10,IVPT,skin,full-thickness neonatal porcine skin,yes,"30% drug, 20% w/w of aqueous polymer blend (PVA (9−10 kDa) and PVP (58 kDa)), 50% surfactant solution",yes,yes,section 2.10,yes,no,yes,Details about the drug concentration and endpoints are stated clearly.
10.1021/acsami.4c00383,Coated Cotton Fabrics with Antibacterial and Anti-Inflammatory Silica Nanoparticles for Improving Wound Healing.,GenAI\papers\pdf\10.1021_acsami.4c00383__86c11b19c2.pdf,no,,uncertain,uncertain,,uncertain,,no,no,,uncertain,no,no,
10.1021/acsami.4c16675,Solution Blow Spun Mats with Beaded-Fiber Morphologies as a Drug Delivery System with Potential Use for Skin Wound Dressing.,GenAI\papers\pdf\10.1021_acsami.4c16675__86eb1f4451.pdf,uncertain,,IVPT,uncertain,,yes,"the solution containing ibuprofen was prepared by dissolving ibuprofen at 5, 15, and 30 wt % of the dry weight of blended polymeric in the PCL/PEG (1:1) solution.",uncertain,yes,In Vitro Ibuprofen Release Studies,uncertain,no,yes,
10.1021/acsomega.7b01800,Drug-Loaded Supramolecular Gels Prepared in a Microfluidic Platform: Distinctive Rheology and Delivery through Controlled Far-from-Equilibrium Mixing.,GenAI\papers\pdf\10.1021_acsomega.7b01800__9d283ba697.pdf,no,,uncertain,uncertain,,no,,uncertain,uncertain,,yes,no,no,The paper discusses ibuprofen incorporation into gels but lacks clear quantitative data for endpoints or concentration specifics.
10.1021/acsomega.8b00185,Toward Understanding Drug Incorporation and Delivery from Biocompatible Metal-Organic Frameworks in View of Cutaneous Administration.,GenAI\papers\pdf\10.1021_acsomega.8b00185__4bbfba07e6.pdf,no,,uncertain,uncertain,,uncertain,,uncertain,uncertain,,uncertain,uncertain,no,
10.1021/acsomega.9b01139,Synthesis and Functionalization of Porous Zr-Diaminostilbenedicarboxylate Metal-Organic Framework for Storage and Stable Delivery of Ibuprofen.,GenAI\papers\pdf\10.1021_acsomega.9b01139__d21daeb09a.pdf,no,,IVRT,uncertain,,uncertain,,yes,yes,Figure 5,no,uncertain,no,"The barrier type is not explicitly mentioned, and specific 5% concentration of ibuprofen is not confirmed."
10.1021/acsomega.9b03696,Tuning Crystal Structures of Iron-Based Metal-Organic Frameworks for Drug Delivery Applications.,GenAI\papers\pdf\10.1021_acsomega.9b03696__93213756c4.pdf,no,,IVRT,both,"MIL-53, MIL-88B",no,,yes,yes,Figure 5,uncertain,no,yes,Only mentions loading and release characteristics; no numeric Q_final data extracted.
10.1021/mp500264e,Crystallographic textures and morphologies of solution cast Ibuprofen composite films at solid surfaces.,GenAI\papers\pdf\10.1021_mp500264e__0344a1a460.pdf,yes,Introduction,IVPT,skin,human skin,no,,yes,yes,Results,uncertain,no,yes,"The paper discusses ibuprofen release and associated study design, with limited concentration data present."
10.1038/s41467-017-00763-6,Printing of small molecular medicines from the vapor phase.,GenAI\papers\pdf\10.1038_s41467-017-00763-6__d818b9d77d.pdf,no,,uncertain,uncertain,,uncertain,,uncertain,uncertain,,uncertain,uncertain,no,
10.1038/s41598-017-03195-w,Sustained release from a metal - Analgesics entrapped within biocidal silver.,GenAI\papers\pdf\10.1038_s41598-017-03195-w__88e14f492f.pdf,no,,IVRT,uncertain,,no,,no,no,,uncertain,no,no,"Lacks explicit mention of Franz diffusion cells and 5% w/w ibuprofen, endpoints not reported."
10.1038/s41598-020-74885-1,Fabrication of tri-layered electrospun polycaprolactone mats with improved sustained drug release profile.,GenAI\papers\pdf\10.1038_s41598-020-74885-1__7b671a04bd.pdf,no,,uncertain,uncertain,,no,,no,no,,uncertain,no,no,
10.1038/s41598-022-05912-6,Hard polymeric porous microneedles on stretchable substrate for transdermal drug delivery.,GenAI\papers\pdf\10.1038_s41598-022-05912-6__a14138d102.pdf,yes,Introduction,IVPT,skin,porcine skin,yes,1:1 weight ratio (Ibuprofen and Lidocaine fine particles were mixed with bio-compatible/photo-curable resin with a weight ratio of 1:1),yes,uncertain,Results,uncertain,no,yes,
10.1038/s41598-024-57883-5,Compatibilizing of cotton fabric with hydrophobic drug cover layer for anti-inflammatory performance with the implementation of ibuprofen.,GenAI\papers\pdf\10.1038_s41598-024-57883-5__112cba5049.pdf,no,,uncertain,uncertain,,uncertain,,no,no,,uncertain,uncertain,no,
10.1038/s41598-024-71609-7,"Ultrasonic synthesis, characterization, DFT and molecular docking of a biocompatible Zn-based MOF as a potential antimicrobial, anti-inflammatory and antitumor agent.",GenAI\papers\pdf\10.1038_s41598-024-71609-7__22f203f8b1.pdf,no,,uncertain,uncertain,,no,,no,no,,uncertain,uncertain,no,No relevant information on ibuprofen concentration or Franz diffusion cell; study focuses on Zn-MOF.
10.1038/s41598-024-82564-8,Design and optimization of hollow microneedle spacing for three materials using finite element methods.,GenAI\papers\pdf\10.1038_s41598-024-82564-8__1f27a4aa14.pdf,no,,uncertain,skin,human skin,no,,no,no,,uncertain,uncertain,no,The paper extensively discusses microneedles and their design but does not provide specific concentration details or numeric endpoints related to ibuprofen permeation/release.
10.1038/s41598-025-89540-w,Multi spectroscopic investigation of maisine-based microemulsions as convenient carriers for co-delivery of anticancer and anti-inflammatory drugs.,GenAI\papers\pdf\10.1038_s41598-025-89540-w__8b4b299fb0.pdf,no,,IVRT,uncertain,,uncertain,,uncertain,uncertain,,uncertain,no,no,Lack of quantitative data or specific endpoint measurements.
10.1038/sj.bjp.0702427,"In vitro prostanoid release from spinal cord following peripheral inflammation: effects of substance P, NMDA and capsaicin.",GenAI\papers\pdf\10.1038_sj.bjp.0702427__4215057e1b.pdf,no,,uncertain,uncertain,,yes,S(+) ibuprofen was dissolved to 5 mg ml71 in 100% w v71 dimethyl sulphoxide.,yes,yes,"Figures 3A, 4B",uncertain,yes,yes,"Details on ibuprofen concentration provided; however, no specific numeric endpoints mentioned. Results are mainly qualitative."
10.1038/srep05251,Expression of human solute carrier family transporters in skin: possible contributor to drug-induced skin disorders.,GenAI\papers\pdf\10.1038_srep05251__d6149d5091.pdf,no,,uncertain,uncertain,,no,,no,no,,uncertain,uncertain,no,"No explicit mention of Franz diffusion cell, 5% ibuprofen concentration, or specific numeric endpoints found."
10.1038/srep39778,High-Quality Metal-Organic Framework ZIF-8 Membrane Supported on Electrodeposited ZnO/2-methylimidazole Nanocomposite: Efficient Adsorbent for the Enrichment of Acidic Drugs.,GenAI\papers\pdf\10.1038_srep39778__ae09f550c3.pdf,no,,uncertain,uncertain,,no,,no,no,,uncertain,uncertain,no,No explicit statements regarding Franz diffusion cell or 5% w/w ibuprofen concentration found.
10.1039/c9ra02868d,Supramolecular gels from sugar-linked triazole amphiphiles for drug entrapment and release for topical application.,GenAI\papers\pdf\10.1039_c9ra02868d__d723b2a34a.pdf,yes,PAGE 1,IVRT,uncertain,,yes,"Drug (ibuprofen) (1.5%, w/v)",uncertain,yes,PAGE 4,yes,no,yes,"Endpoint details are uncertain, but a table of results exists."
10.1039/d0ra00100g,Enhancement of ibuprofen solubility and skin permeation by conjugation with l-valine alkyl esters.,GenAI\papers\pdf\10.1039_d0ra00100g__a0517498c9.pdf,yes,Page 3 (permeation through porcine skin),IVPT,skin,porcine skin,uncertain,,uncertain,uncertain,,yes,no,yes,No explicit mention of 5% w/w ibuprofen concentration. Total cumulative amounts or flux not provided directly.
10.1039/d0ra01444c,"Assembly of lignin-based colloidal particles: effects of cationic surfactants, molecular weight, and solvent on morphology.",GenAI\papers\pdf\10.1039_d0ra01444c__0bc0fa001a.pdf,no,,uncertain,uncertain,,no,,no,no,,uncertain,uncertain,no,"The paper discusses the encapsulation of ibuprofen but does not provide explicit details about the Franz diffusion cell setup, specific barrier type, or detailed numeric endpoints related to ibuprofen release."
10.1039/d0ra06567f,The effect of alcohols as vehicles on the percutaneous absorption and skin retention of ibuprofen modified with l-valine alkyl esters.,GenAI\papers\pdf\10.1039_d0ra06567f__15dc420ec6.pdf,yes,PAGE 1,IVPT,skin,porcine skin,no,,yes,yes,PAGE 4,yes,no,yes,Cumulative mass mentioned in the context of skin permeation after 24 hours; specific numeric tables may be in Supplementary Information.
10.1039/d1ra07761a,Comparison of drug release behavior of bacterial cellulose loaded with ibuprofen and propranolol hydrochloride.,GenAI\papers\pdf\10.1039_d1ra07761a__97a74e7554.pdf,no,,IVRT,both,bacterial cellulose,no,,uncertain,uncertain,,uncertain,no,yes,Did not explicitly mention Franz diffusion cell. Study discusses drug release from bacterial cellulose which may imply use of drug release methodology but lacks specific endpoint data.
10.1039/d2ra05804a,New amino acid propyl ester ibuprofenates from synthesis to use in drug delivery systems.,GenAI\papers\pdf\10.1039_d2ra05804a__cf2f535409.pdf,yes,Discussion,IVPT,skin,pig skin,no,,yes,yes,Table 4,yes,no,yes,
10.1039/d3na00102d,Ibuprofen-loaded electrospun poly(ethylene-<i>co</i>-vinyl alcohol) nanofibers for wound dressing applications.,GenAI\papers\pdf\10.1039_d3na00102d__3fe1ba65d9.pdf,yes,Methods,IVRT,synthetic_membrane,poly(ethylene-co-vinyl alcohol),no,,yes,yes,Results,yes,no,yes,Endpoints reported in the Results section; Supplementary Information is likely to contain more detailed formulations.
10.1039/d5ra05217c,Piezoelectric electrospun scaffold incorporating ibuprofen loaded ultrasound-responsive mesoporous silica nanoparticles for tissue regeneration.,GenAI\papers\pdf\10.1039_d5ra05217c__c723345e54.pdf,no,,uncertain,uncertain,,uncertain,,uncertain,uncertain,,uncertain,uncertain,no,No specific details on Franz diffusion cell or endpoints were found in the provided text.
10.1063/1.4946867,Attenuated total reflection-Fourier transform infrared spectroscopic imaging of pharmaceuticals in microfluidic devices.,GenAI\papers\pdf\10.1063_1.4946867__507064c9a2.pdf,no,,uncertain,uncertain,,uncertain,,uncertain,uncertain,,uncertain,uncertain,no,No explicit mention of Franz diffusion cell or specific endpoints; concentrations of ibuprofen not clearly defined.
10.1080/10837450.2018.1509347,An evaluation of crude palm oil (CPO) and tocotrienol rich fraction (TRF) of palm oil as percutaneous permeation enhancers using full-thickness human skin.,GenAI\papers\pdf\10.1080_10837450.2018.1509347__a7e143a067.pdf,yes,Introduction,IVPT,skin,full-thickness human skin,uncertain,,yes,uncertain,Results,uncertain,uncertain,yes,
10.1097/opx.0000000000000849,Controlled Release of Multiple Therapeutics from Silicone Hydrogel Contact Lenses.,GenAI\papers\pdf\10.1097_opx.0000000000000849__43748dc834.pdf,no,,uncertain,uncertain,,uncertain,,uncertain,uncertain,,uncertain,uncertain,yes,
10.1097/pr9.0000000000001073,Systematic review of topical interventions for the management of pain in chronic wounds.,GenAI\papers\pdf\10.1097_pr9.0000000000001073__c54af60247.pdf,no,,IVPT,skin,human skin,no,,yes,yes,Table 1,uncertain,no,yes,Ibuprofen concentration not specified at 5% w/w; all studies report ibuprofen foam at 0.5 mg/cm2.
10.1098/rsfs.2019.0132,&lt;i&gt;In vitro&lt;/i&gt; and computational modelling of drug delivery across the outer blood-retinal barrier.,GenAI\papers\pdf\10.1098_rsfs.2019.0132__2fa2660da2.pdf,no,,both,both,,no,,uncertain,uncertain,,uncertain,uncertain,no,Paper discusses ibuprofen release but does not specify 5% concentration or provide numeric endpoints.
10.1111/j.1476-5381.1991.tb09844.x,Excretion of metabolites of prostacyclin and thromboxane by rats with nephrotoxic nephritis: effects of interleukin-1.,GenAI\papers\pdf\10.1111_j.1476-5381.1991.tb09844.x__6343051e7e.pdf,no,,uncertain,uncertain,,no,,no,no,,uncertain,uncertain,no,
10.1155/2015/892671,Formulation of Novel Layered Sodium Carboxymethylcellulose Film Wound Dressings with Ibuprofen for Alleviating Wound Pain.,GenAI\papers\pdf\10.1155_2015_892671__9b42388c10.pdf,no,,IVRT,both,"human skin, synthetic films",no,,uncertain,uncertain,,uncertain,no,yes,
10.1155/2023/5535344,"Extraction, Characterization, and Evaluation of <i>Lepidium sativum</i> Linn. Mucilage as a Mucoadhesive Polymer.",GenAI\papers\pdf\10.1155_2023_5535344__058ccb5240.pdf,no,,IVPT,synthetic_membrane,HPMC K100M,yes,"Ibuprofen mucoadhesive microspheres were prepared from LSM and standard polymer HPMC K100M following the ionotropic gelation technique. To prepare diferent concentrations of formulations of LSM and drug (Table 1) with a ratio of 1 : 5, 3 : 5, and 1 :1, LSM was dissolved in distilled water. Then, the model drug (ibuprofen) was added...",uncertain,uncertain,,uncertain,no,yes,
10.1186/2050-6511-13-5,Microneedle pretreatment enhances the percutaneous permeation of hydrophilic compounds with high melting points.,GenAI\papers\pdf\10.1186_2050-6511-13-5__eabb128fb8.pdf,yes,Abstract,IVPT,skin,bovine skin,no,ibuprofen 23.4 mg/ml,yes,yes,Table 1,uncertain,no,yes,
10.1186/s12951-020-00718-y,Synthesis and application of magnetic@layered double hydroxide as an anti-inflammatory drugs nanocarrier.,GenAI\papers\pdf\10.1186_s12951-020-00718-y__c400793e91.pdf,no,,uncertain,uncertain,,uncertain,,no,no,,uncertain,uncertain,no,"The paper does not explicitly state any of the required elements, including Franz diffusion cell methodology or specific endpoint data."
10.1208/pt020424,Influence of ibuprofen as a solid-state plasticizer in Eudragit RS 30 D on the physicochemical properties of coated beads.,GenAI\papers\pdf\10.1208_pt020424__f519f890d2.pdf,no,,IVRT,uncertain,,no,,no,no,,uncertain,uncertain,yes,No explicit mention of Franz diffusion cell or 5% ibuprofen concentration.
10.1208/s12249-009-9228-z,Anhydride prodrug of ibuprofen and acrylic polymers.,GenAI\papers\pdf\10.1208_s12249-009-9228-z__ed60a39704.pdf,uncertain,,uncertain,uncertain,,no,,no,no,,uncertain,no,no,No explicit mention of a Franz diffusion cell or specific endpoint data found.
10.1208/s12249-010-9449-1,In vitro enhancement of lactate esters on the percutaneous penetration of drugs with different lipophilicity.,GenAI\papers\pdf\10.1208_s12249-010-9449-1__20e37a8b8e.pdf,yes,In vitro Skin Permeation Studies,IVPT,skin,hairless rat skin,yes,5% was selected as a suitable concentration of each enhancer,yes,yes,Table III,no,no,yes,
10.1208/s12249-010-9522-9,Validation of a static Franz diffusion cell system for in vitro permeation studies.,GenAI\papers\pdf\10.1208_s12249-010-9522-9__9004f70379.pdf,yes,Abstract,IVPT,synthetic_membrane,synthetic membranes,yes,Phorpain gel containing 5% ibuprofen,yes,yes,Ibuprofen Transport Studies—before and after Validation,no,no,yes,Data on ibuprofen permeation is presented without a dedicated numeric table.
10.1208/s12249-013-9953-1,Drug-loaded zein nanofibers prepared using a modified coaxial electrospinning process.,GenAI\papers\pdf\10.1208_s12249-013-9953-1__81485635ae.pdf,no,,IVRT,uncertain,,no,,uncertain,uncertain,,uncertain,uncertain,no,
10.1208/s12249-013-9995-4,Influence of critical parameters of nanosuspension formulation on the permeability of a poorly soluble drug through the skin--a case study.,GenAI\papers\pdf\10.1208_s12249-013-9995-4__48cbfe0b17.pdf,yes,PAGE 3,IVPT,both,"human skin, porcine skin",yes,5% drug (5% w/v) was dispersed into the system,uncertain,uncertain,,uncertain,no,yes,"No numeric tables found, endpoint information unclear."
10.1208/s12249-015-0474-y,Regulating the Skin Permeation Rate of Escitalopram by Ion-pair Formation with Organic Acids.,GenAI\papers\pdf\10.1208_s12249-015-0474-y__b08f9feea7.pdf,yes,Methods,IVPT,skin,rabbit abdominal skin,no,,yes,yes,Table III,uncertain,no,yes,
10.1208/s12249-018-1095-z,Chronotherapeutic Drug Delivery of Ketoprofen and Ibuprofen for Improved Treatment of Early Morning Stiffness in Arthritis Using Hot-Melt Extrusion Technology.,GenAI\papers\pdf\10.1208_s12249-018-1095-z__52c47dee3a.pdf,no,,IVRT,uncertain,,uncertain,,uncertain,uncertain,,uncertain,uncertain,no,
10.1208/s12249-019-1481-1,Effects of Temperature and Humidity on the Skin Permeation of Hydrophilic and Hydrophobic Drugs.,GenAI\papers\pdf\10.1208_s12249-019-1481-1__47e0b4fbb9.pdf,yes,Experiments,IVPT,skin,porcine ear skin,no,,yes,yes,Table III,no,no,yes,
10.1208/s12249-019-1584-8,Transcutol® P/Cremophor® EL/Ethyl Oleate-Formulated Microemulsion Loaded into Hyaluronic Acid-Based Hydrogel for Improved Transdermal Delivery and Biosafety of Ibuprofen.,GenAI\papers\pdf\10.1208_s12249-019-1584-8__85f231cdcc.pdf,yes,Section - In vitro Transdermal Test,IVPT,skin,rat skin,yes,"Ibuprofen (w/w, 5%)",yes,yes,Section - In vitro Transdermal Test,uncertain,no,yes,
10.1248/cpb.c21-00033,Use of Silicone Membrane Permeation to Assess Thermodynamic Activities of Ionic Liquids and Their Component Cation and Anion.,GenAI\papers\pdf\10.1248_cpb.c21-00033__567266ad06.pdf,no,,uncertain,synthetic_membrane,silicone membrane,no,,no,uncertain,,uncertain,no,no,Paper focuses on ionic liquids; no direct studies on pharmacokinetics or endpoints for ibuprofen in formulations.
