doi,title,pdf_path,ready_for_step6,paper_type,mentions_ibuprofen,mentions_diffusion_cell,franz_confirmed,where_diffusion_cell,where_franz,study_type,barrier_category,barrier_name_raw,ibuprofen_conc_found,ibuprofen_conc_value_raw,ibuprofen_conc_basis,ibuprofen_conc_snippet,endpoint_qfinal_found,endpoint_time_found,where_endpoint,figure_only,endpoint_likely_in_supp,formulation_table_missing,notes,priority
10.3389/fphar.2024.1355283,Hyaluronic acid-ibuprofen conjugation: a novel ototherapeutic approach protecting inner ear cells from inflammation-mediated damage.,GenAI\papers\pdf\10.3389_fphar.2024.1355283__d3e3b20e27.pdf,yes,primary_experiment,yes,yes,no,Methods p9,,IVPT,both,"tympanic membrane, round window membrane",uncertain,,uncertain,,yes,yes,"Figure 7, Table S1",no,yes,no,none | conc_snippet_missing_ibuprofen,2
10.1021/acsami.4c00383,Coated Cotton Fabrics with Antibacterial and Anti-Inflammatory Silica Nanoparticles for Improving Wound Healing.,GenAI\papers\pdf\10.1021_acsami.4c00383__86c11b19c2.pdf,yes,primary_experiment,yes,yes,no,Methods p4,,IVRT,uncertain,,uncertain,,uncertain,,yes,yes,Table 2 p8,no,no,no, | conc_snippet_missing_ibuprofen,2
10.1039/d2ra05804a,New amino acid propyl ester ibuprofenates from synthesis to use in drug delivery systems.,GenAI\papers\pdf\10.1039_d2ra05804a__cf2f535409.pdf,yes,primary_experiment,yes,yes,no,Methods p6,,IVPT,skin,porcine skin,uncertain,,uncertain,,yes,yes,Table 4 p6,no,yes,no, | conc_snippet_missing_ibuprofen,2
10.1016/j.ijpharm.2016.03.043,"A comparative study of the in vitro permeation of ibuprofen in mammalian skin, the PAMPA model and silicone membrane.",GenAI\papers\pdf\10.1016_j.ijpharm.2016.03.043__7008480bdc.pdf,yes,primary_experiment,yes,yes,yes,Methods p5,Methods p5,IVPT,both,"human skin, porcine skin, silicone membrane, PAMPA",yes,5% w/w,w/w,the commercial formulations selected for evaluation were IBUGEL™ (Ibuprofen 5% w/w),yes,yes,Results p12,no,no,no,,2
10.1016/j.ijpx.2023.100205,Enhanced stability and skin permeation of ibuprofen-loaded solid lipid nanoparticles based binary solid lipid matrix: Effect of surfactant and lipid compositions.,GenAI\papers\pdf\10.1016_j.ijpx.2023.100205__36b2f722d0.pdf,yes,primary_experiment,yes,yes,yes,Methods p4,Methods p4,IVPT,skin,human skin,yes,1.0% w/w,w/w,containing 1.0% w/w ibuprofen loading,yes,yes,Results p9,no,no,no,,2
10.1002/etc.4302,Effects of skin region and relative lipophilicity on percutaneous absorption in the toad Rhinella marina.,GenAI\papers\pdf\10.1002_etc.4302__89ec992d2c.pdf,yes,primary_experiment,yes,yes,yes,"Methods, PAGE 8","Methods, PAGE 8",IVPT,skin,toad skin,yes,2.75 g/L,other,spiked with 2.75 g/L 2-hydroxypropyl-beta-cyclodextrin for ibuprofen,yes,yes,"Results, PAGE 10",no,no,no,,2
10.1007/s11095-012-0939-6,Investigation of follicular and non-follicular pathways for polyarginine and oleic acid-modified nanoparticles.,GenAI\papers\pdf\10.1007_s11095-012-0939-6__6f8de36d1e.pdf,yes,primary_experiment,yes,yes,yes,Methods p5,Methods p5,IVPT,skin,porcine ear skin,yes,"100 μl of surface modified and un-modified nanoparticle formulations including Ibu-NLC, Ibu-NLC-R11, Ibu-NLC-YKA, Ibu-NPS, Ibu-NPS-OA",other,100 μl of surface modified and un-modified nanoparticle formulations including Ibu-NLC,yes,yes,Figure 2 p10,no,no,no,Ibuprofen studied with multiple nanoparticle formulations.,2
10.1007/s11095-020-02887-9,Two-Photon Polymerisation 3D Printing of Microneedle Array Templates with Versatile Designs: Application in the Development of Polymeric Drug Delivery Systems.,GenAI\papers\pdf\10.1007_s11095-020-02887-9__71e83a4015.pdf,yes,primary_experiment,yes,yes,yes,Methods p4,Methods p4,IVPT,skin,neonatal full thickness porcine skin,yes,40% w/w,w/w,"mixture of gelatin (10% w/w), mannitol (3% w/w) and IBU Na (40% w/w)",yes,yes,Results p4,no,yes,uncertain,,2
10.1016/j.heliyon.2019.e02127,Permeability of frog skin to chemicals: effect of penetration enhancers.,GenAI\papers\pdf\10.1016_j.heliyon.2019.e02127__2845bde3ad.pdf,yes,primary_experiment,yes,yes,yes,Methods p2,Methods p3,IVPT,skin,frog skin,yes,10% v/v,other,10% v/v ethanol (ibuprofen only),yes,yes,Results p3,no,no,no,,2
10.3390/polym15040791,"Chitin-Glucan Complex Hydrogels: Physical-Chemical Characterization, Stability, In Vitro Drug Permeation, and Biological Assessment in Primary Cells.",GenAI\papers\pdf\10.3390_polym15040791__a37a825452.pdf,yes,primary_experiment,yes,yes,yes,Methods p5,Methods p5,IVPT,synthetic_membrane,Strat-M,yes,4.26 µg/cm2/h,other,"permeated with a flux of 19.53 and ibuprofen, which were permeated with a flux of 4.26 µg/cm2/h",yes,yes,Figure 8,no,no,no,,2
10.3390/pharmaceutics12020105,Development of a Biodegradable Subcutaneous Implant for Prolonged Drug Delivery Using 3D Printing.,GenAI\papers\pdf\10.3390_pharmaceutics12020105__15075ef150.pdf,yes,primary_experiment,yes,yes,yes,Methods p4,Methods p9,IVRT,both,PVA,yes,100 mg/mL,mg_per_g,"ibuprofen sodium (IS) and was quantified using reverse-phase high-performance liquid chromatography (RP-HPLC). The column used to achieve separation was Agilent Eclipse XDB-C18 (5 µm pore size, 4.6 × 150 mm) column (Agilent Technologies UK Ltd., Stockport, UK).",yes,yes,Figure 6 p9,no,no,uncertain,None,2
10.3390/pharmaceutics2020209,A Comparative Study of Transmembrane Diffusion and Permeation of Ibuprofen across Synthetic Membranes Using Franz Diffusion Cells.,GenAI\papers\pdf\10.3390_pharmaceutics2020209__1a2e9fadde.pdf,yes,primary_experiment,yes,yes,yes,Abstract,Abstract,IVPT,synthetic_membrane,synthetic membranes,yes,saturated solution,other,the ibuprofen drug diffusion from saturated solution,yes,yes,Plots in Results,no,no,no,,2
10.3390/antibiotics10070805,In Vitro Microbiological and Drug Release of Silver/Ibuprofen Loaded Wound Dressing Designed for the Treatment of Chronically Infected Painful Wounds.,GenAI\papers\pdf\10.3390_antibiotics10070805__b6bca2ab5d.pdf,yes,primary_experiment,yes,yes,yes,p14,p14,IVRT,uncertain,,yes,10 g/L,other,"the total amount of IBU-L on dressing samples... concentration of impregnation bath to obtain an appropriate dose of IBU-L to relieve pain (in comparison to commercial dressing Biatain® Ibu, 500 µg/cm2)",yes,yes,Figure 7 p14,no,no,no,,2
10.3390/ma10010074,Supercritical CO₂-Assisted Spray Drying of Strawberry-Like Gold-Coated Magnetite Nanocomposites in Chitosan Powders for Inhalation.,GenAI\papers\pdf\10.3390_ma10010074__5bcebc0cec.pdf,yes,primary_experiment,yes,yes,no,Methods p3,,IVPT,both,"Chitosan matrix, healthy and cancerous epithelial conditions",uncertain,,uncertain,,yes,yes,Table 3 p8,no,uncertain,no,Investigates IBP release profiles and encapsulation in a chitosan carrier. | conc_snippet_missing_ibuprofen,2
10.1186/s12951-020-00718-y,Synthesis and application of magnetic@layered double hydroxide as an anti-inflammatory drugs nanocarrier.,GenAI\papers\pdf\10.1186_s12951-020-00718-y__c400793e91.pdf,yes,primary_experiment,yes,yes,no,Methods p3,,IVPT,synthetic_membrane,,uncertain,,uncertain,,yes,yes,Table 1 p9,no,no,no,Systems evaluated include ibuprofen as drug. | conc_snippet_missing_ibuprofen,2
10.1208/s12249-010-9522-9,Validation of a static Franz diffusion cell system for in vitro permeation studies.,GenAI\papers\pdf\10.1208_s12249-010-9522-9__9004f70379.pdf,yes,primary_experiment,yes,yes,yes,Methods,Abstract,IVPT,synthetic_membrane,synthetic membranes,yes,5% w/w,w/w,Phorpain gel containing 5% ibuprofen,yes,yes,Figure 2,no,no,no,none,2
10.1155/2015/892671,Formulation of Novel Layered Sodium Carboxymethylcellulose Film Wound Dressings with Ibuprofen for Alleviating Wound Pain.,GenAI\papers\pdf\10.1155_2015_892671__9b42388c10.pdf,yes,primary_experiment,yes,yes,yes,Methods p4,Methods p4,IVRT,synthetic_membrane,polyester mesh,yes,0.5 mg/cm2 and 1.0 mg/cm2,mg_per_g,the concentration of ibuprofen which was incorporated as an acetone solution or as a suspension in a sodium carboxymethylcellulose dispersion was 0.5 mg/cm2 and 1.0 mg/cm2 of film,yes,yes,Results p8,no,no,no,,2
10.1208/s12249-019-1481-1,Effects of Temperature and Humidity on the Skin Permeation of Hydrophilic and Hydrophobic Drugs.,GenAI\papers\pdf\10.1208_s12249-019-1481-1__47e0b4fbb9.pdf,yes,primary_experiment,yes,yes,yes,Methods p4,Methods p4,IVPT,skin,porcine ear skin,yes,saturated solution,other,saturated solution of... ibuprofen (IP),yes,yes,Results p6,no,no,no,Ibuprofen is studied; endpoints provided.,2
10.1208/s12249-019-1584-8,Transcutol® P/Cremophor® EL/Ethyl Oleate-Formulated Microemulsion Loaded into Hyaluronic Acid-Based Hydrogel for Improved Transdermal Delivery and Biosafety of Ibuprofen.,GenAI\papers\pdf\10.1208_s12249-019-1584-8__85f231cdcc.pdf,yes,primary_experiment,yes,yes,yes,Methods p4,Methods p4,IVPT,skin,rat skin,yes,5% w/w,w/w,the concentration of ibuprofen was 0.01 mg/mL,yes,yes,Results p8,no,no,no,,2
10.1007/s13346-022-01182-x,Soluplus<sup>®</sup> polymeric nanomicelles improve solubility of BCS-class II drugs.,GenAI\papers\pdf\10.1007_s13346-022-01182-x__b21c07f7ac.pdf,yes,primary_experiment,yes,yes,no,Methods p10,,IVRT,both,dialysis membrane (MWCO: 3.5 kD),yes,0.5% (w/v),w/w,IBU: 0.5% (w/v) (batch SNM-IBU1),yes,yes,Results p10,no,no,no,,1
10.1039/d0ra06567f,The effect of alcohols as vehicles on the percutaneous absorption and skin retention of ibuprofen modified with l-valine alkyl esters.,GenAI\papers\pdf\10.1039_d0ra06567f__15dc420ec6.pdf,yes,primary_experiment,yes,yes,yes,Page 12,Page 12,IVPT,skin,porcine skin,uncertain,,uncertain,,yes,yes,Page 4,no,yes,no, | conc_snippet_missing_ibuprofen,1
10.1021/acs.langmuir.2c02497,pH-Responsive Metal-Organic Framework Thin Film for Drug Delivery.,GenAI\papers\pdf\10.1021_acs.langmuir.2c02497__57371a22bd.pdf,yes,primary_experiment,yes,yes,no,Methods p6,,IVPT,uncertain,,yes,6.0 μg/cm2,other,MIL-88B(Fe) films are also capable of loading around 6.0 μg/cm2 of ibuprofen,yes,yes,Results p6,no,no,no,,1
10.1021/acs.molpharmaceut.1c00988,Elucidating the Impact of Surfactants on the Performance of Dissolving Microneedle Array Patches.,GenAI\papers\pdf\10.1021_acs.molpharmaceut.1c00988__320ca28dae.pdf,yes,primary_experiment,yes,yes,yes,Methods p14,Methods p14,IVPT,skin,neonatal porcine skin,uncertain,,uncertain,,yes,yes,Results p13,no,no,no,None | conc_snippet_missing_ibuprofen,1
10.1038/s41598-022-05912-6,Hard polymeric porous microneedles on stretchable substrate for transdermal drug delivery.,GenAI\papers\pdf\10.1038_s41598-022-05912-6__a14138d102.pdf,yes,primary_experiment,yes,yes,no,Page 4,,IVPT,skin,ex vivo porcine model,yes,unknown,uncertain,Ibuprofen is a non-steroidal anti-inflammatory drug (NSAIDs) used for pain relief.,yes,yes,Page 4,no,no,uncertain,Active ingredients studied include Lidocaine and Ibuprofen with no specific concentration value mentioned.,1
10.1063/1.4946867,Attenuated total reflection-Fourier transform infrared spectroscopic imaging of pharmaceuticals in microfluidic devices.,GenAI\papers\pdf\10.1063_1.4946867__507064c9a2.pdf,yes,primary_experiment,yes,yes,no,"PAGE 1, PAGE 2",,uncertain,uncertain,,yes,"200 mg/ml, 100 mg/ml, 50 mg/ml",mg_per_g,"Three different concentrations of sodium ibuprofen dissolved in a neutral solution were studied in this investigation, 200 mg/ml, 100 mg/ml, and 50 mg/ml.",yes,yes,PAGE 7,no,no,no,,1
10.3390/polym16142006,Cellulose Acetate and Polycaprolactone Fibre Coatings on Medical-Grade Metal Substrates for Controlled Drug Release.,GenAI\papers\pdf\10.3390_polym16142006__02ac8ba9aa.pdf,yes,primary_experiment,yes,yes,no,Methods p5,,IVRT,both,stainless steel,yes,0.5 g/L,other,1 mg of Ibu was incorporated into both the CA and PCL solutions at a concentration of 0.5 g/L,yes,yes,Results p6,no,yes,no,,1
10.14440/jbm.2020.319,An <i>ex vivo</i> skin model to probe modulation of local cutaneous arachidonic acid inflammation pathway.,GenAI\papers\pdf\10.14440_jbm.2020.319__1be6b1975c.pdf,yes,primary_experiment,yes,yes,yes,Methods p4,Methods p4,IVPT,skin,porcine skin,no,,uncertain,,yes,yes,Results p10,no,no,no,"Ibuprofen is part of the study; however, no specific concentration is provided.",1
10.1248/cpb.c21-00033,Use of Silicone Membrane Permeation to Assess Thermodynamic Activities of Ionic Liquids and Their Component Cation and Anion.,GenAI\papers\pdf\10.1248_cpb.c21-00033__567266ad06.pdf,yes,primary_experiment,yes,yes,no,Methods p3,,IVPT,synthetic_membrane,silicone membrane,yes,0.5,other,with a molar fraction of ibuprofen of 0.5 or higher.,yes,yes,Results p5,no,no,no,,1
10.1038/sj.bjp.0702427,"In vitro prostanoid release from spinal cord following peripheral inflammation: effects of substance P, NMDA and capsaicin.",GenAI\papers\pdf\10.1038_sj.bjp.0702427__4215057e1b.pdf,yes,primary_experiment,yes,yes,no,Methods p4,,uncertain,uncertain,,yes,5 mg/ml,other,S(+) ibuprofen was dissolved to 5 mg ml71 in 100% w v71 dimethyl sulphoxide.,yes,yes,Figure 4B,no,no,no,,1
10.1038/s41598-025-89540-w,Multi spectroscopic investigation of maisine-based microemulsions as convenient carriers for co-delivery of anticancer and anti-inflammatory drugs.,GenAI\papers\pdf\10.1038_s41598-025-89540-w__8b4b299fb0.pdf,yes,primary_experiment,yes,yes,no,Methods p2,,IVRT,skin,,yes,"1, 3, 6% IBU",w/w,"monocomponent (0.34 and 1% FU:1, 3, 6% IBU)",yes,yes,Results p3,no,no,no,,1
10.1208/s12249-013-9953-1,Drug-loaded zein nanofibers prepared using a modified coaxial electrospinning process.,GenAI\papers\pdf\10.1208_s12249-013-9953-1__81485635ae.pdf,yes,primary_experiment,yes,yes,no,Methods p5,,IVPT,uncertain,,yes,3.0 g/100 mL,w/w,30.0 g zein and 3.0 g IBU in 100 mL 80% ethanol aqueous solution,yes,yes,Results p6,no,no,no,,1
10.1098/rsfs.2019.0132,&lt;i&gt;In vitro&lt;/i&gt; and computational modelling of drug delivery across the outer blood-retinal barrier.,GenAI\papers\pdf\10.1098_rsfs.2019.0132__2fa2660da2.pdf,yes,primary_experiment,yes,yes,no,Methods p6,,IVPT,skin,outer blood–retinal barrier,yes,1 mg/ml,mg_per_g,"Ibuprofen (2-(4-isobutylphenyl)propionic acid, C13H18O2, MW 206.29) was purchased from Tokyo Chemical Industry UK (I0415) and 1 mg ml−1 was dissolved in technical grade 1000 cSt silicone oil (SIO) obtained from Fluoron GmbH.",yes,yes,Results p7,no,no,no,,1
10.18433/j3160b,A new vesicle-loaded hydrogel system suitable for topical applications: preparation and characterization.,GenAI\papers\pdf\10.18433_j3160b__e18921d9f7.pdf,yes,primary_experiment,yes,yes,no,Methods,,IVPT,skin,stratum corneum,yes,1%,w/w,with the fluorescent probe NR (2.5 mM) or IBU (1%),yes,yes,Results,no,no,no,,1
10.3797/scipharm.1204-14,"Synthesis, characterization, and in vitro evaluation of new Ibuprofen polymeric prodrugs based on 2-hydroxypropyl methacrylate.",GenAI\papers\pdf\10.3797_scipharm.1204-14__6d2c010d2d.pdf,yes,primary_experiment,yes,yes,no,Method of hydrolysis p13,,IVPT,synthetic_membrane,cellophane membrane bags,yes,18–21 wt. %,w/w,the incorporation of 18–21 wt. % of ibuprofen into copolymer structures.,yes,yes,Figure 8 p9,no,no,no,,1
10.3390/nano11071850,pH-Responsive Chitosan/Alginate Polyelectrolyte Complexes on Electrospun PLGA Nanofibers for Controlled Drug Release.,GenAI\papers\pdf\10.3390_nano11071850__a1c10dc1dc.pdf,yes,primary_experiment,yes,yes,no,Methods p5,,IVPT,skin,,yes,0.021 mg·mL−1,mg_per_g,saturated solution of IBU in MilliQ water (0.021 mg·mL−1),yes,yes,Results p12,no,no,no,,1
10.3390/pharmaceutics16081055,Mixed Micellar Gel of Poloxamer Mixture for Improved Solubilization of Poorly Water-Soluble Ibuprofen and Use as Thermosensitive In Situ Gel.,GenAI\papers\pdf\10.3390_pharmaceutics16081055__065e618dc2.pdf,yes,primary_experiment,yes,yes,no,Methods p2,,IVPT,uncertain,,yes,"1.0 mg/mL, 1.4 mg/mL, 1.8 mg/mL",mg_per_g,"1.0 mg/mL, 1.4 mg/mL, and 1.8 mg/mL of ibuprofen",yes,yes,Figure 10,no,no,no,,1
10.1007/s11095-024-03747-6,Fluorinated PAMAM-Arginine Carrier Prodrugs for pH-Sensitive Sustained Ibuprofen Delivery.,GenAI\papers\pdf\10.1007_s11095-024-03747-6__42a2bcfb6b.pdf,yes,primary_experiment,yes,yes,no,Methods p4,,IVPT,uncertain,,uncertain,,uncertain,,yes,yes,Results p9,no,no,no, | conc_snippet_missing_ibuprofen,0
10.1097/opx.0000000000000849,Controlled Release of Multiple Therapeutics from Silicone Hydrogel Contact Lenses.,GenAI\papers\pdf\10.1097_opx.0000000000000849__43748dc834.pdf,yes,primary_experiment,yes,yes,no,Methods p8,,IVPT,uncertain,,uncertain,,uncertain,,yes,yes,Results p6,no,uncertain,no, | conc_snippet_missing_ibuprofen,0
10.1016/j.jsps.2017.03.004,Vapour-phase method in the synthesis of polymer-ibuprofen sodium-silica gel composites.,GenAI\papers\pdf\10.1016_j.jsps.2017.03.004__e3d1f0291a.pdf,yes,primary_experiment,yes,yes,no,p7,,IVPT,both,"phosphate buffer, polymer-silica composites, silica gel",uncertain,,uncertain,,yes,yes,Results p7,no,no,no, | conc_snippet_missing_ibuprofen,0
10.1208/s12249-015-0474-y,Regulating the Skin Permeation Rate of Escitalopram by Ion-pair Formation with Organic Acids.,GenAI\papers\pdf\10.1208_s12249-015-0474-y__b08f9feea7.pdf,yes,primary_experiment,yes,yes,no,Methods p3,,IVPT,skin,rabbit abdominal skin,no,,uncertain,,yes,yes,Results p6,no,no,no,,0
10.3390/gels10110704,Decellularized Macroalgae as Complex Hydrophilic Structures for Skin Tissue Engineering and Drug Delivery.,GenAI\papers\pdf\10.3390_gels10110704__b52d02c892.pdf,yes,primary_experiment,yes,yes,no,Methods p6,,IVPT,both,"human keratinocytes, decellularized macroalgae",uncertain,,uncertain,,yes,yes,Figure 3 p7,no,no,uncertain,Key endpoints presented clearly in methods and results. | conc_snippet_missing_ibuprofen,0
