doi,title,pdf_path,route,ready_for_step6_text,paper_type,mentions_ibuprofen,mentions_diffusion_cell,franz_confirmed,where_diffusion_cell,where_franz,study_type,barrier_category,barrier_name_raw,endpoint_qfinal_found,endpoint_time_found,where_endpoint,figure_only,endpoint_carrier,endpoint_carrier_where,endpoint_carrier_snippet,formulation_carrier,formulation_carrier_where,formulation_carrier_snippet,endpoint_likely_in_supp,formulation_table_missing,notes
10.1063/1.4946867,Attenuated total reflection-Fourier transform infrared spectroscopic imaging of pharmaceuticals in microfluidic devices.,GenAI\papers\pdf\10.1063_1.4946867__507064c9a2.pdf,figure,no,primary_experiment,yes,yes,no,Page 4 - descriptions of microfluidic devices for studying drug release,uncertain,IVPT,both,micro-formulations; pH media,yes,yes,Page 7 - description of drug release at 20 min,no,figure,Fig. 3,Fig. 3 demonstrates that it is possible to study four different channels simultaneously...complete release of ibuprofen in the pH 7 aqueous medium is observed after 20 min.,narrative,Page 6,"Micro-formulations containing a model drug, ibuprofen, and excipient, PEG... were prepared and dispensed using a microdrop system...",no,no,
10.1097/opx.0000000000000849,Controlled Release of Multiple Therapeutics from Silicone Hydrogel Contact Lenses.,GenAI\papers\pdf\10.1097_opx.0000000000000849__43748dc834.pdf,figure,no,primary_experiment,yes,yes,no,"Page 5, 6",uncertain,IVPT,both,silicone hydrogel lenses,yes,yes,Page 8,no,figure,"Page 8, Results section","""The cocktail of molecules for the combination release devices were 120 kDa HPMC, trehalose, prednisolone, and ibuprofen (Figure 8).""",narrative,"Page 1, Methods section","""Four template molecules were selected for incorporation and release from the hydrogel lenses. The template molecules selected were 120 kilodalton (kDa) hydroxylpropyl methylcellulose (HPMC), trehalose, ibuprofen, and prednisolone.""",no,yes,Study highlights the use of controlled release in hydrogels for multiple therapeutics including ibuprofen.
10.1208/pt020424,Influence of ibuprofen as a solid-state plasticizer in Eudragit RS 30 D on the physicochemical properties of coated beads.,GenAI\papers\pdf\10.1208_pt020424__f519f890d2.pdf,figure,no,primary_experiment,yes,no,no,,,uncertain,uncertain,,yes,yes,Figure 5,no,figure,Figure 5,Figure 5 shows dissolution profiles of ibuprofen from coated beads.,narrative,Conclusion section,The dissolution rate of ibuprofen could be controlled and stabilized by use of the polymeric plasticization technique.,no,no,
10.1208/s12249-009-9228-z,Anhydride prodrug of ibuprofen and acrylic polymers.,GenAI\papers\pdf\10.1208_s12249-009-9228-z__ed60a39704.pdf,figure,no,primary_experiment,yes,yes,no,PAGE 6,unknown,IVPT,synthetic_membrane,Eudragit L-100 and S-100,yes,yes,PAGE 6,no,figure,"PAGE 6, Figure 5 shows in vitro release properties of ibuprofen.",Fig. 5 shows the drug release proﬁles from the conjugate and the microspheres.,table_text,"PAGE 3, Table I summarizes the anhydride parameters including drug loading.",Table I details the anhydride parameters such as yields and drug loading percentages.,no,no,
10.1208/s12249-013-9953-1,Drug-loaded zein nanofibers prepared using a modified coaxial electrospinning process.,GenAI\papers\pdf\10.1208_s12249-013-9953-1__81485635ae.pdf,figure,no,primary_experiment,yes,no,no,,,IVRT,uncertain,,yes,yes,"PAGE 6, Fig. 7",no,figure,"Page 6, Fig. 7","The IBU release profiles of fibers F1, F2, and F3 are shown in Fig. 7.",narrative,"Page 6, Results and Discussion, second last paragraph",The cumulative amount of IBU released at each time point was reverse calculated from the data obtained against a predetermined calibration curve.,no,no,
10.1208/s12249-019-1481-1,Effects of Temperature and Humidity on the Skin Permeation of Hydrophilic and Hydrophobic Drugs.,GenAI\papers\pdf\10.1208_s12249-019-1481-1__47e0b4fbb9.pdf,figure,no,primary_experiment,yes,yes,yes,Page 2,Page 2,IVPT,skin,excised porcine ear skin,yes,yes,Page 6,no,figure,Page 6,"Figure 2a, b shows the cumulative amount of IP and ANP that permeated through the skin at different temperatures and humidities, respectively.",table_text,Page 4,Table I shows the composition of the vehicle solution used for saturation of the drugs.,no,no,
10.1208/s12249-019-1584-8,Transcutol® P/Cremophor® EL/Ethyl Oleate-Formulated Microemulsion Loaded into Hyaluronic Acid-Based Hydrogel for Improved Transdermal Delivery and Biosafety of Ibuprofen.,GenAI\papers\pdf\10.1208_s12249-019-1584-8__85f231cdcc.pdf,figure,no,primary_experiment,yes,yes,yes,"Page 4, in vitro Transdermal Test section","Page 4, in vitro Transdermal Test section",IVPT,skin,rat skin,yes,yes,"Page 6, Fig. 3",no,figure,"Page 6, Fig. 3",Fig. 3 shows cumulative permeation profiles of ibuprofen-loaded preparations over 24 hours.,table_text,"Page 4, Table I","Table I lists the composition of the Ibuprofen-Loaded formulations including ME/Gel, Gel, and Cream.",no,no,Study demonstrates the effectiveness of microemulsion-based hydrogel for ibuprofen transdermal delivery.
10.1248/cpb.c21-00033,Use of Silicone Membrane Permeation to Assess Thermodynamic Activities of Ionic Liquids and Their Component Cation and Anion.,GenAI\papers\pdf\10.1248_cpb.c21-00033__567266ad06.pdf,figure,no,primary_experiment,yes,yes,no,Page 3 - Membrane Permeation Experiments: The silicone membrane was cut slightly larger than the effective diffusional area of the horizontal two-chamber diffusion cell.,uncertain,IVPT,synthetic_membrane,silicone membrane,yes,yes,Page 5 - Figure 4: Relationship between Theoretical and Observed Permeation Rates of Lidocaine (a) and Ibuprofen (b)...,no,figure,Page 5 - Figure 4,Figure 4 shows both observed and theoretical values for the permeation rates of ibuprofen through the silicone membrane.,table_text,Page 4 - Table 2,"Table 2 shows the molar fraction in IL, lidocaine, and ibuprofen at and after IL preparation.",no,no,
10.18433/j3160b,A new vesicle-loaded hydrogel system suitable for topical applications: preparation and characterization.,GenAI\papers\pdf\10.18433_j3160b__e18921d9f7.pdf,figure,no,primary_experiment,yes,yes,no,"Section ""Release experiments""",uncertain,IVPT,skin,"not explicitly stated, but refers to skin in context",yes,yes,Figure 3,no,figure,Figure 3,Figure 3 shows release profiles of IBU and CAFF from the LBG/Xanth gel (empty symbols) and from the loaded NSVs-LBG/Xanth systems (full symbols)...,unknown,uncertain,uncertain,no,yes,Study focuses on the release profiles of ibuprofen in a hydrogel system.
10.3390/ijms150814014,Silver nanoparticles/ibuprofen-loaded poly(L-lactide) fibrous membrane: anti-infection and anti-adhesion effects.,GenAI\papers\pdf\10.3390_ijms150814014__56d56e5666.pdf,figure,no,primary_experiment,yes,no,no,,,IVPT,both,poly(L-lactide) fibrous membranes,yes,yes,Figure 3B,no,figure,Figure 3B,"Figure 3B shows IBU release from Ag4%-IBU4%-PLLA electrospun fibers, indicating cumulative release behavior.",narrative,"Results section, paragraph discussing drug release",The IBU release profile of Ag4%–IBU4%–PLLA electrospun fibers is shown in Figure 3B.,no,no,Study focuses on ibuprofen-loaded fibrous membranes; endpoints and formulations are clearly defined.
10.3390/mi11060554,Novel Design Approaches in the Fabrication of Polymeric Microarray Patches via Micromoulding.,GenAI\papers\pdf\10.3390_mi11060554__69230bf446.pdf,figure,no,primary_experiment,yes,yes,yes,In vitro permeation section,In vitro permeation section,IVPT,skin,dermal porcine skin,yes,yes,Figure 4 and Results text,no,figure,Figure 4,"Figure 4 shows in vitro permeation profiles of ibuprofen sodium via hydrogel-forming microarray patches (means ± SD, n = 3).",table_text,Table 2,"Validation parameters for the developed RP-HPLC method for the detection and quantification of ibuprofen sodium (IBU) in phosphate-buffered saline (PBS, pH 7.4).",no,no,
10.3390/nano11071850,pH-Responsive Chitosan/Alginate Polyelectrolyte Complexes on Electrospun PLGA Nanofibers for Controlled Drug Release.,GenAI\papers\pdf\10.3390_nano11071850__a1c10dc1dc.pdf,figure,no,primary_experiment,yes,yes,no,"Page 10, section 3.2",unknown,IVPT,skin,electrospun PLGA nanofibers,yes,yes,"Page 10, Figure 7",no,figure,"Page 10, Figure 7","Figure 7 shows the drug release kinetics for IBU measured in PBS and SGF at pH 1.0, indicating cumulative amounts released over specified timepoints.",narrative,"Page 9, section 3.2.1","The highest amount of drug loaded was evaluated at different pH values, indicating the drug loading kinetics of IBU.",no,yes,Study shows clear relationship between pH responsiveness and ibuprofen release kinetics.
10.3390/pharmaceutics12020105,Development of a Biodegradable Subcutaneous Implant for Prolonged Drug Delivery Using 3D Printing.,GenAI\papers\pdf\10.3390_pharmaceutics12020105__15075ef150.pdf,figure,no,primary_experiment,yes,yes,no,Section 2.2.4,unknown,IVPT,uncertain,agarose gel,yes,yes,"Results section, Figure 7",no,figure,Figure 7,"Figure 7 displays the release profiles of ibuprofen sodium (IS) from various implants, showcasing the cumulative release data over time.",unknown,unknown,unknown,no,no,"This study includes ibuprofen as a model compound; however, specific formulation details do not appear to be presented in standardized tables or distinct text passages."
10.3390/pharmaceutics16081055,Mixed Micellar Gel of Poloxamer Mixture for Improved Solubilization of Poorly Water-Soluble Ibuprofen and Use as Thermosensitive In Situ Gel.,GenAI\papers\pdf\10.3390_pharmaceutics16081055__065e618dc2.pdf,figure,no,primary_experiment,yes,yes,no,Section 2.9: In Vitro Release Study,unknown,IVPT,both,thermosensitive mixed micellar gels,yes,yes,Section 3.2: Solubilization of Ibuprofen in Single and Mixed Polymeric Micelles,no,figure,Referencing Figure 5A,Figure 5A illustrates the values of the solubility enhancement...,narrative,Section 2.9: In Vitro Release Study,The membrane-less diffusion method was employed to evaluate in vitro drug release...,no,no,This study focuses on the release and solubilization properties of ibuprofen using mixed micellar gels.
10.3390/polym12071473,Design and Preparation of New Multifunctional Hydrogels Based on Chitosan/Acrylic Polymers for Drug Delivery and Wound Dressing Applications.,GenAI\papers\pdf\10.3390_polym12071473__3f2449ea80.pdf,figure,no,primary_experiment,yes,yes,no,Section 2.2.3 Drug Release Study,unknown,IVPT,synthetic_membrane,dialysis membrane,yes,yes,Figure 6,no,figure,Figure 6,The readings expressed as cumulative release were plotted versus time in order to obtain the drug release profiles...,table_text,Table 1,The table presents the hydrogels composition in terms of synthetic monomer/initiator ratio...,no,no,
10.3390/polym16131934,Electrospun Ibuprofen-Loaded Blend PCL/PEO Fibers for Topical Drug Delivery Applications.,GenAI\papers\pdf\10.3390_polym16131934__addfe4ce83.pdf,figure,no,primary_experiment,yes,yes,uncertain,Materials and Methods: 2.5 Fiber Electrospinning,uncertain,IVPT,skin,PCL/PEO fibers,yes,yes,Results: 3.7 In Vitro Drug Release Assay,no,figure,Results: 3.7 In Vitro Drug Release Assay,Cumulative release of IBP from various PCL/PEO fibers.,table_text,Results: 3.7 In Vitro Drug Release Assay,The average viscosities of various 10 wt% blank and IBP-loaded PCL/PEO solutions are shown in Figure 1a.,no,no,
10.3797/scipharm.1204-14,"Synthesis, characterization, and in vitro evaluation of new Ibuprofen polymeric prodrugs based on 2-hydroxypropyl methacrylate.",GenAI\papers\pdf\10.3797_scipharm.1204-14__6d2c010d2d.pdf,figure,no,primary_experiment,yes,yes,no,PAGE 10,uncertain,IVPT,uncertain,cellophane dialysis bags,yes,yes,PAGE 10,no,figure,PAGE 10,Fig. 6 shows the percent of ibuprofen released from polymeric carriers as a function of time at hydrochloric acid buffer (pH 1) and 37 °C.,table_text,PAGE 12,The yields of the obtained polymeric prodrugs are presented in Table 2.,no,no,The study involves ibuprofen polymeric prodrugs and evaluates their in vitro release via diffusion cell methods.
