doi,title,pdf_path,route,ready_for_step6_text,paper_type,mentions_ibuprofen,mentions_diffusion_cell,franz_confirmed,where_diffusion_cell,where_franz,study_type,barrier_category,barrier_name_raw,endpoint_qfinal_found,endpoint_time_found,where_endpoint,figure_only,endpoint_carrier,endpoint_carrier_where,endpoint_carrier_snippet,formulation_carrier,formulation_carrier_where,formulation_carrier_snippet,endpoint_likely_in_supp,formulation_table_missing,notes
10.1021/acsomega.8b00185,Toward Understanding Drug Incorporation and Delivery from Biocompatible Metal-Organic Frameworks in View of Cutaneous Administration.,GenAI\papers\pdf\10.1021_acsomega.8b00185__4bbfba07e6.pdf,text,yes,primary_experiment,yes,yes,no,Section 2.2,uncertain,both,uncertain,not specified,yes,yes,Figure 3 and Table 1,no,table_text,Table 1,Table 1 shows textural properties of MOFs before and after drug adsorption process.,table_text,Table 1,Table 1 includes total drug loading (wt % and mol·mol−1) and estimated occupancy volume of a single drug molecule.,no,no,
10.1038/s41467-017-00763-6,Printing of small molecular medicines from the vapor phase.,GenAI\papers\pdf\10.1038_s41467-017-00763-6__d818b9d77d.pdf,text,yes,primary_experiment,yes,yes,no,"Page 1, paragraph 1 discusses various delivery vehicles including transdermal systems and microneedles.",uncertain,IVPT,both,"Glasses, Tegaderm, and microneedles",yes,yes,"Page 7, last paragraph discusses dissolution rates and comparisons over time.",no,narrative,"Page 7, paragraph where dissolution rates are discussed.","""...the initial dissolution rates in films is very rapid and constant up to ~80% of the film being dissolved.""",table_text,"Table 1 on Page 3, summarizes OVJP processing conditions.","""Table 1 summarizes OVJP processing conditions for materials used in the study.""",no,no,The study demonstrates significant enhancement in dissolution rate of ibuprofen through vapor jet printing.
10.1038/s41598-022-05912-6,Hard polymeric porous microneedles on stretchable substrate for transdermal drug delivery.,GenAI\papers\pdf\10.1038_s41598-022-05912-6__a14138d102.pdf,text,yes,primary_experiment,yes,yes,no,Page 5 (in vitro drug release of lidocaine and ibuprofen microneedles),uncertain,IVPT,skin,porcine skin,yes,yes,Page 4,no,table_text,Page 4,The release profile shows that each patch (containing 100 microneedles) roughly releases 1 mg of drug in DPBS solution after 2 h by dissolution-diffusion mechanism.,supplement,Page 4,We performed a detailed release study in DPBS medium for both Ibuprofen and Lidocaine microneedle patches.,no,no,
10.1038/s41598-025-89540-w,Multi spectroscopic investigation of maisine-based microemulsions as convenient carriers for co-delivery of anticancer and anti-inflammatory drugs.,GenAI\papers\pdf\10.1038_s41598-025-89540-w__8b4b299fb0.pdf,text,yes,primary_experiment,yes,yes,uncertain,methods section,unknown,IVRT,both,"microemulsions, liposomes",yes,yes,Results section,no,table_text,Table 2,Table 2 lists the final composition of the nine drug(s)-loaded MEs and the free drug MEs used in this study.,table_text,Table 1,Table 1 shows the different formulations and compositions used in the study.,no,no,"Study investigates ibuprofen in microemulsions and liposomes, assessing release behaviors."
10.1039/c9ra02868d,Supramolecular gels from sugar-linked triazole amphiphiles for drug entrapment and release for topical application.,GenAI\papers\pdf\10.1039_c9ra02868d__d723b2a34a.pdf,text,yes,primary_experiment,yes,yes,no,Experiment section,N/A,IVPT,skin,"n-hexane, n-heptane, methanol",yes,yes,Results section,no,table_text,Table 1,Table 1 shows gelation ability of tetritol-based triazole-linked lipid derivatives.,narrative,Experiment section,"The gelators, owing to the amphiphilic nature... were utilized to entrap ibuprofen and 5-fluorouracil.",no,no,
10.1039/d0ra00100g,Enhancement of ibuprofen solubility and skin permeation by conjugation with l-valine alkyl esters.,GenAI\papers\pdf\10.1039_d0ra00100g__a0517498c9.pdf,text,yes,primary_experiment,yes,yes,yes,PAGE 6,PAGE 5,IVPT,skin,porcine skin,yes,yes,PAGE 6,no,table_text,Table 2,The solubility was established and summarised in Table 2.,table_text,Table 1,The properties of ibuprofen and its L-valine ester derivatives are summarized in Table 1.,no,no,The study explores formulations of ibuprofen derivatives for enhanced skin permeation using Franz diffusion cells.
10.1039/d0ra06567f,The effect of alcohols as vehicles on the percutaneous absorption and skin retention of ibuprofen modified with l-valine alkyl esters.,GenAI\papers\pdf\10.1039_d0ra06567f__15dc420ec6.pdf,text,yes,primary_experiment,yes,yes,yes,"PAGE 1, first paragraph","PAGE 1, first paragraph",IVPT,skin,porcine skin,yes,yes,"PAGE 4, second paragraph",no,narrative,"PAGE 4, second paragraph",The cumulative mass of compound in skin after 24 hours of permeation (n = 3) – acceptor phase with pH 5.4 ...,supplement,"PAGE 1, supplementary information",see Supporting Information Table S6...,yes,no,Study uses both unmodified ibuprofen and its derivatives for IVPT.
10.1039/d2ra05804a,New amino acid propyl ester ibuprofenates from synthesis to use in drug delivery systems.,GenAI\papers\pdf\10.1039_d2ra05804a__cf2f535409.pdf,text,yes,primary_experiment,yes,yes,no,narrative,unknown,IVPT,skin,pig skin,yes,yes,Table 4,no,table_text,Table 4,Table 4 lists cumulative permeation values and other permeability parameters for ibuprofen derivatives.,narrative,Results and discussion,...the formation of structural modifications of ibuprofen in the form of charged compounds with lower lipophilicity influences better permeability than the more lipophilic ibuprofen.,no,no,Study focuses on new ibuprofen derivatives and their permeability through skin.
10.1039/d3na00102d,Ibuprofen-loaded electrospun poly(ethylene-<i>co</i>-vinyl alcohol) nanofibers for wound dressing applications.,GenAI\papers\pdf\10.1039_d3na00102d__3fe1ba65d9.pdf,text,yes,primary_experiment,yes,yes,no,"Page 1, Methods section",unknown,IVPT,skin,poly(ethylene-co-vinyl alcohol) nanofibers,yes,yes,"Page 6, Results",no,narrative,"Page 6, Results section",The relative release of IBU was evaluated at 25 °C and 37.5 °C in phosphate-buffered saline (PBS) solution...,table_text,"Page 5, Table 1",Parameters used for the electrospinning of EVOH nanoﬁbers...,no,no,
10.1039/d5ra05217c,Piezoelectric electrospun scaffold incorporating ibuprofen loaded ultrasound-responsive mesoporous silica nanoparticles for tissue regeneration.,GenAI\papers\pdf\10.1039_d5ra05217c__c723345e54.pdf,text,yes,primary_experiment,yes,yes,uncertain,"In the description of drug release tests, indicating the use of a controlled environment for diffusion studies.",uncertain,IVPT,skin,piezoelectric electrospun scaffold,yes,yes,Section 2.4 - Manufacturing and characterisation of PVDF scaffold.,no,table_text,Section 2.4,"The release tests were conducted in triplicate, indicating numerical cumulative values of ibuprofen release over time.",unknown,Section 2.4,Details on formulation with IBU@MSN-SA-Ca nanoparticles.,no,no,The study extensively discusses the synthesis of ibuprofen-loaded nanoparticles and their release mechanism.
10.1080/10837450.2018.1509347,An evaluation of crude palm oil (CPO) and tocotrienol rich fraction (TRF) of palm oil as percutaneous permeation enhancers using full-thickness human skin.,GenAI\papers\pdf\10.1080_10837450.2018.1509347__a7e143a067.pdf,text,yes,primary_experiment,yes,yes,yes,PAGE 4,PAGE 7,IVPT,skin,full-thickness human skin,yes,yes,PAGE 7,no,table_text,PAGE 6,Table 2 shows the cumulative permeation of ibuprofen at various timepoints...,table_text,PAGE 6,Table 2 details the formulation parameters used for ibuprofen across the diffusion cells.,no,no,
10.1098/rsfs.2019.0132,&lt;i&gt;In vitro&lt;/i&gt; and computational modelling of drug delivery across the outer blood-retinal barrier.,GenAI\papers\pdf\10.1098_rsfs.2019.0132__2fa2660da2.pdf,text,yes,primary_experiment,yes,yes,no,"Page 1, Figure 1b",uncertain,IVPT,both,outer blood-retinal barrier,yes,yes,"Page 4, Section 2.2.3",no,narrative,"Page 4, Section 2.2.3","At defined time points, 100 µl samples were taken from the PBS, transferred to UV transparent cuvettes...",unknown,uncertain,uncertain,no,no,"It describes study conditions for ibuprofen release, but no detailed tables or specific formulations are provided in the main text."
10.1155/2015/892671,Formulation of Novel Layered Sodium Carboxymethylcellulose Film Wound Dressings with Ibuprofen for Alleviating Wound Pain.,GenAI\papers\pdf\10.1155_2015_892671__9b42388c10.pdf,text,yes,primary_experiment,yes,yes,yes,"PAGE 4, Section 2.2.6","PAGE 4, Section 2.2.6",IVRT,synthetic_membrane,Franz diffusion cell,yes,yes,"PAGE 5, Results and Discussion",no,narrative,"PAGE 5, Section 3.1","""The ibuprofen concentration in the films was expressed as mg/cm2 of film.""",table_text,"PAGE 3, Table 1","""Table 1: Preparation of layered films.""",no,no,
10.1186/2050-6511-13-5,Microneedle pretreatment enhances the percutaneous permeation of hydrophilic compounds with high melting points.,GenAI\papers\pdf\10.1186_2050-6511-13-5__eabb128fb8.pdf,text,yes,primary_experiment,yes,yes,yes,"PAGE 2, Methods section","PAGE 1, Results section",IVPT,skin,bovine udder skin,yes,yes,"PAGE 4, Table 1",no,table_text,"PAGE 4, Table 1",Table 1 shows cumulative permeation parameters for ibuprofen under varying microneedle pretreatment conditions.,table_text,"PAGE 4, Table 1",Table 1 lists the formulation parameters for ibuprofen and other tested compounds.,no,no,Study effectively demonstrates ibuprofen's diffusion characteristics using Franz-type cells and microneedle enhancements.
10.1186/s12951-020-00718-y,Synthesis and application of magnetic@layered double hydroxide as an anti-inflammatory drugs nanocarrier.,GenAI\papers\pdf\10.1186_s12951-020-00718-y__c400793e91.pdf,text,yes,primary_experiment,yes,yes,no,Page 3,unknown,IVRT,synthetic_membrane,PBS,yes,yes,Page 9,no,narrative,Page 9,"The release rate of Ibuprofen was 90% within 24 h, 94% in 48 h, and 96% in 72 h.",unknown,unknown,unknown,no,no,IBU release measured over time in IVRT testing.
10.1208/s12249-010-9449-1,In vitro enhancement of lactate esters on the percutaneous penetration of drugs with different lipophilicity.,GenAI\papers\pdf\10.1208_s12249-010-9449-1__20e37a8b8e.pdf,text,yes,primary_experiment,yes,yes,yes,Page 4,Page 4,IVPT,skin,hairless rat skin,yes,yes,Table 3,no,table_text,Table 3,The effect of the lactate esters on percutaneous permeation of IBU through hairless rat skin is summarized in Table III.,table_text,Table I,The physicochemical parameters of these model drugs are presented in Table I.,no,no,Lactate esters were used as penetration enhancers. Numerical results showing cumulative amounts and timepoints for ibuprofen are present.
10.1208/s12249-010-9522-9,Validation of a static Franz diffusion cell system for in vitro permeation studies.,GenAI\papers\pdf\10.1208_s12249-010-9522-9__9004f70379.pdf,text,yes,primary_experiment,yes,yes,yes,PAGE 1,PAGE 1,IVPT,synthetic_membrane,synthetic membranes,yes,yes,PAGE 4,no,table_text,PAGE 4,Table shows plots of cumulative % ibuprofen drug permeation through each synthetic membrane against time.,table_text,PAGE 5,The study involved saturated solutions prepared by adding excess ibuprofen...,no,no,Study validated a Franz cell system for ibuprofen diffusion using synthetic membranes.
10.1208/s12249-013-9995-4,Influence of critical parameters of nanosuspension formulation on the permeability of a poorly soluble drug through the skin--a case study.,GenAI\papers\pdf\10.1208_s12249-013-9995-4__48cbfe0b17.pdf,text,yes,primary_experiment,yes,yes,yes,PAGE 2,PAGE 2,IVPT,skin,porcine skin,yes,yes,PAGE 5,no,table_text,Table III shows the cumulative amount of drug permeated (μg) for different formulations over time.,"Cumulative amount of drug permeated (μg) at different times: 24h (798.9), 48h (1178.9)...",table_text,Table I outlines the compositions of ibuprofen nanosuspension formulations.,"Compositions of Ibuprofen Nanosuspension Formulations: Code, Vit. E TPGS, HPMC K4...",no,no,
10.1208/s12249-015-0474-y,Regulating the Skin Permeation Rate of Escitalopram by Ion-pair Formation with Organic Acids.,GenAI\papers\pdf\10.1208_s12249-015-0474-y__b08f9feea7.pdf,text,yes,primary_experiment,yes,yes,no,PAGE 2 - In Vitro Permeation Experiments,uncertain,IVPT,skin,rabbit abdominal skin,yes,yes,Table III,no,table_text,Table III,"Table III shows the permeation data and physicochemical parameters for ESP with or without various organic acids (mean ± SD, n = 4) including Q8h and J values.",table_text,Table III,Table III summarizes the flux values of ESP ion-pair complexes with various organic acids.,no,no,
10.1371/journal.pone.0156931,Use of a Tissue Engineered Human Skin Model to Investigate the Effects of Wounding and of an Anti-Inflammatory on Melanoma Cell Invasion.,GenAI\papers\pdf\10.1371_journal.pone.0156931__84dcffdf1d.pdf,text,yes,primary_experiment,yes,yes,no,Materials and Methods,n/a,both,skin,Tissue Engineered Human Skin Model,yes,yes,Results,no,table_text,Table 4,Table 4 summarizes the experimental results regarding melanoma cell invasion.,table_text,Table 3,Table 3 provides a summary of the effects of various treatments including ibuprofen on melanoma invasion.,no,no,
10.14440/jbm.2020.319,An <i>ex vivo</i> skin model to probe modulation of local cutaneous arachidonic acid inflammation pathway.,GenAI\papers\pdf\10.14440_jbm.2020.319__1be6b1975c.pdf,text,yes,primary_experiment,yes,yes,yes,"Page 4, where the setup of the Franz diffusion cell is described.","Page 4, where it says the setup allows the determination of xenobiotic transport.",IVPT,skin,porcine skin,yes,yes,"Page 5, where transdermal delivery parameters are discussed.",no,narrative,Page 5,Samples are taken from the receptor phase and analyzed for penetrant to determine transdermal delivery parameters.,unknown,unknown,unknown,no,no,
10.2147/ijn.s34700,Modification of palm kernel oil esters nanoemulsions with hydrocolloid gum for enhanced topical delivery of ibuprofen.,GenAI\papers\pdf\10.2147_ijn.s34700__130ce08dfa.pdf,text,yes,primary_experiment,yes,yes,yes,PAGE 4,PAGE 2,IVPT,skin,rat skin,yes,yes,PAGE 7,no,table_text,"PAGE 7, Table 4","Table 4 shows the permeation parameters of T802 and M1, detailing cumulative amounts over the given time periods.",table_text,"PAGE 2, Table 1 and Table 2",Table 1 presents the formulation components including ibuprofen in the nanoemulsion.,no,no,
10.22037/ijpr.2020.112887.14003,Development and Characterization of Niosomal Gel System using <i>Lallementia royaleana Benth.</i> mucilage for the treatment of Rheumatoid Arthritis.,GenAI\papers\pdf\10.22037_ijpr.2020.112887.14003__d40fecc1d7.pdf,text,yes,primary_experiment,yes,yes,yes,Page 7,Page 7,IVPT,skin,excised rat skin,yes,yes,Page 12,no,table_text,Table 4,"Results for Amount permeated, Drug flux, and Log permeability coefficient of the Ibuprofen loaded Niosomal gel formulations.",table_text,Table 1,"Formulations (Surfactant: Cholesterol Ratio), Entrapment efficiencies (EE%), Mean Vesicle Size (MVS), Cumulative Percent Release (CPR) of all Ibuprofen loaded Niosome Formulations.",no,no,
10.3390/antibiotics10070805,In Vitro Microbiological and Drug Release of Silver/Ibuprofen Loaded Wound Dressing Designed for the Treatment of Chronically Infected Painful Wounds.,GenAI\papers\pdf\10.3390_antibiotics10070805__b6bca2ab5d.pdf,text,yes,primary_experiment,yes,yes,yes,Section 3.3.3,Paragraph discussing previous works,IVPT,uncertain,uncertain,yes,yes,Section 3.3.3,no,narrative,Section 3.3.3,the totality of the IBU-L loaded was released in 1 h.,narrative,Section 3.3.3,the concentration of impregnation bath to obtain an appropriate dose of IBU-L,no,no,The study demonstrated the drug release kinetics of ibuprofen from the developed dressing.
10.3390/gels10110704,Decellularized Macroalgae as Complex Hydrophilic Structures for Skin Tissue Engineering and Drug Delivery.,GenAI\papers\pdf\10.3390_gels10110704__b52d02c892.pdf,text,yes,primary_experiment,yes,yes,no,Section 2.4: Drug Loading and In Vitro Drug Release,unknown,IVRT,both,green algae (Ulva lactuca); red algae (Rhodophyta),yes,yes,Table 1,no,table_text,Table 1 shows hydration degree and release rate constants for Ibuprofen diffusion profiles from hydrogels.,Hydration degree (HD) was significantly influenced by the agent used in the decellularization process...,table_text,"Section 2.4: Drug Loading and In Vitro Drug Release, Table 1",The drug loading capacity was associated with scaffold porosity and its components’ interaction with Ibuprofen molecules...,no,no,Study includes detailed results on both ibuprofen release profile and scaffold characteristics.
10.3390/gels11010041,Permeation Enhancer in Microemulsions and Microemulsion-Based Gels: A Comparison of Diethylene Glycol Monoethyl Ether and Oleyl Alcohol.,GenAI\papers\pdf\10.3390_gels11010041__cb148324e0.pdf,text,yes,primary_experiment,yes,yes,yes,Section 2.4.1,Section 2.4.1,IVPT,both,Strat-M® membrane and regenerated cellulose membrane,yes,yes,Table 2,no,table_text,Table 2,"Table 2 lists the flux (J), permeability coefficient (Kp), and lag time (tlag) for the formulations, indicating cumulative ibuprofen permeation over 24 hours.",table_text,Table 4,"Table 4 displays the compositions of the microemulsion formulations, detailing the percentage of each component including ibuprofen and other excipients.",no,no,The study emphasizes the comparative effectiveness of different microemulsions with ibuprofen as a model drug.
10.3390/ijms242115632,Enhancing Transdermal Delivery: Investigating the Impact of Permeation Promoters on Ibuprofen Release and Penetration from Medical Patches-In Vitro Research.,GenAI\papers\pdf\10.3390_ijms242115632__cc885c7871.pdf,text,yes,primary_experiment,yes,yes,uncertain,Methods Section,Methods Section,IVPT,skin,pig skin,yes,yes,Table 6,no,table_text,Table 6,Table 6 summarizes the cumulative mass of IBU followed by an analysis of the skin permeation parameters.,table_text,Table 7,Table 7 shows the appropriate weights with which to prepare the formulation.,no,no,Study focuses on different formulations of ibuprofen in transdermal patches and analyzes their permeation through skin.
10.3390/membranes12080762,In Situ Generation of Fouling Resistant Ag/Pd Modified PES Membranes for Treatment of Pharmaceutical Wastewater.,GenAI\papers\pdf\10.3390_membranes12080762__fa6875b6e1.pdf,text,yes,primary_experiment,yes,yes,no,Figure 2,unknown,IVRT,uncertain,PES membranes with Ag/Pd nanoparticles,yes,yes,Table 3,no,table_text,"Table 3 shows water contact angles, fluxes, porosity, zeta potential, mean pore radius, and salt rejection properties of the Ag/Pd PES membranes. The table shows numerical rejection values for ibuprofen.","The rejection of organic compounds was also investigated, with Table 3 detailing the rejection percentages for ibuprofen along with cumulative permeability data.",table_text,Table 1 conveys the composition of the PES casting solutions used for membrane fabrication.,Table 1 presents the formulations of the casting solutions including Ag/Pd concentrations for the membrane.,no,no,
10.3390/nano10112165,Embedding Ordered Mesoporous Carbons into Thermosensitive Hydrogels: A Cutting-Edge Strategy to Vehiculate a Cargo and Control Its Release Profile.,GenAI\papers\pdf\10.3390_nano10112165__6748e42f34.pdf,text,yes,primary_experiment,yes,yes,yes,"Section 2.6, Ibuprofen Release from Hybrid Sol-Gel Systems","Section 2.6, Ibuprofen Release from Hybrid Sol-Gel Systems",IVPT,both,"Ordered Mesoporous Carbons, Thermosensitive Hydrogels",yes,yes,"Section 3.1.2, Ibuprofen Loading into C1 and C3 Carbons",no,narrative,"Section 3.1.2, Ibuprofen Loading into C1 and C3 Carbons","""the total mass of the drug loaded C3 and C1 decreased by approximately 50% of the initial weight, in agreement with the 1:1 initial loading""",table_text,"Table 1, Compositional information and acronyms of the formulations","""Table 1. Compositional information and acronyms of the formulations designed in this work""",no,no,
10.3390/pharmaceutics12020151,Evaluation of Formulation Parameters on Permeation of Ibuprofen from Topical Formulations Using Strat-M<sup>®</sup> Membrane.,GenAI\papers\pdf\10.3390_pharmaceutics12020151__701029bf55.pdf,text,yes,primary_experiment,yes,yes,no,PAGE 3,unknown,IVPT,synthetic_membrane,Strat-M® membrane,yes,yes,PAGE 1,no,table_text,"PAGE 6, Table 5",Cumulative amount of drug permeated at the end of 24 h was highest for clear gel (3% w/w ibuprofen; F6: 739.6 ± 36.1 µg/cm2)...,table_text,"PAGE 6, Table 2",Composition of ibuprofen emulgel (F5) (3% w/w) is provided in Table 2.,no,no,
10.3390/pharmaceutics13111952,Polyelectrolyte-Coated Mesoporous Bioactive Glasses via Layer-by-Layer Deposition for Sustained Co-Delivery of Therapeutic Ions and Drugs.,GenAI\papers\pdf\10.3390_pharmaceutics13111952__45146cae8a.pdf,text,yes,primary_experiment,yes,yes,no,Not explicitly detailed in document,Not applicable,IVPT,both,Cu-substituted MBG nanoparticles,yes,yes,"Results section, Table 1",no,table_text,Table 2,"Table 2 shows the weight loss percentages associated with each deposited layer and ibuprofen loading, indicating the cumulative release results.",supplement,Supplementary Information,Ibuprofen was loaded into Cu_SG_CAC and Cu_SG_CIC via specific methods detailed in the supplementary material.,yes,no,Details on specific time points and measurement methods present.
10.3390/pharmaceutics2020209,A Comparative Study of Transmembrane Diffusion and Permeation of Ibuprofen across Synthetic Membranes Using Franz Diffusion Cells.,GenAI\papers\pdf\10.3390_pharmaceutics2020209__1a2e9fadde.pdf,text,yes,primary_experiment,yes,yes,yes,PAGE 2,PAGE 4,IVPT,synthetic_membrane,Synthetic membranes (13 types) listed in Table 1,yes,yes,PAGE 8,no,table_text,"PAGE 8, Table 3","Table 3. Summary of average ibuprofen flux from saturated solution (n = 6), total diffusion after 6 h and the coefficient of variation (CV) for individual synthetic membranes.",table_text,"PAGE 6, Table 2",Table 2. A mass balance result (at 60 ºC) for ibuprofen saturated solution.,no,no,Study investigates ibuprofen diffusion using various synthetic membranes in Franz diffusion cells; comprehensive quantitative results provided.
