doi,title,pdf_path,route,ready_for_step6_text,paper_type,mentions_ibuprofen,mentions_diffusion_cell,franz_confirmed,where_diffusion_cell,where_franz,study_type,barrier_category,barrier_name_raw,endpoint_qfinal_found,endpoint_time_found,where_endpoint,figure_only,endpoint_carrier,endpoint_carrier_where,endpoint_carrier_snippet,formulation_carrier,formulation_carrier_where,formulation_carrier_snippet,endpoint_likely_in_supp,formulation_table_missing,notes
10.1016/j.jsps.2017.03.004,Vapour-phase method in the synthesis of polymer-ibuprofen sodium-silica gel composites.,GenAI\papers\pdf\10.1016_j.jsps.2017.03.004__e3d1f0291a.pdf,text,yes,primary_experiment,yes,yes,no,Section 2.2 - Release of ibuprofen salt,unknown,IVPT,uncertain,Not explicitly stated,yes,yes,Section 3.2 - Results and discussion,no,narrative,The values of parameters characterizing the porosity... predictably correlate with the content of silica gel.,"The drug contents in ternary composites, taking into account the mass of the total carrier system, were estimated to be 39 mg/g for HP-DA...",supplement,This describes the methodology and conditions used during the preparation.,Poly(TRIM) was prepared only with trimethylolpropane trimethacrylate monomer... used as matrices for the preparation of the solid dispersion of ibuprofen sodium.,no,no,"The endpoint data is discussed in terms of release characteristics, framed within the methodology section, supporting the overall outcomes in drug release."
10.1016/j.mtcomm.2022.103205,Physicomechanical properties and in vitro release behaviors of electrospun ibuprofen-loaded blend PEO/EC fibers.,GenAI\papers\pdf\10.1016_j.mtcomm.2022.103205__6696b83bce.pdf,figure,no,primary_experiment,yes,no,no,,,IVRT,both,PEO/EC fibers,yes,yes,PAGE 12,no,figure,Fig. 8 shows the in vitro release curves of IBP from the PEO/EC fibers at various compositions...,"...the cumulative releases of IBP continued to increase to reach a plateau for all fiber formulations containing PEO, suggesting the role of PEO matrix dissolution in the release media that promoted the drug release rates.",narrative,main text,Results suggested that average fiber diameters and average fiber yields approached to a maximum at 50PEO/50EC fiber composition.,no,no,
10.1016/j.neuroscience.2012.08.058,Morphological and genetic activation of microglia after diffuse traumatic brain injury in the rat.,GenAI\papers\pdf\10.1016_j.neuroscience.2012.08.058__639064b653.pdf,text,no,primary_experiment,yes,no,no,not applicable,not applicable,uncertain,uncertain,not specified,yes,yes,Results section,no,narrative,"Results section, paragraph describing gene expression data",CD45 gene expression showed a significant 17 fold increase at 7 days post-injury compared to uninjured sham.,narrative,"Methods section, paragraph detailing ibuprofen dosage and administration schedule","At 30 minutes post-FPI, uninjured and brain-injured animals were treated with an initial dose of vehicle (saline) or ibuprofen (20 mg/kg, i.p.) and then daily for 7 days.",no,yes,The study predominantly discusses the effect of ibuprofen in the context of microglial activation post-TBI but does not explicitly use a diffusion cell setup or describe a Franz cell experiment.
10.1016/s0006-3495(03)74603-7,"Lateral diffusion rates of lipid, water, and a hydrophobic drug in a multilamellar liposome.",GenAI\papers\pdf\10.1016_s0006-3495_03_74603-7__c18c29e9ba.pdf,text,no,primary_experiment,yes,no,no,,,uncertain,both,multilamellar liposomes,yes,yes,RESULTS AND DISCUSSION,no,narrative,Discussion on diffusion constant measurement,"The diffusion constant of ibuprofen is (2.1 6 0.1) 3 10^-11 m2/s at 309 K, indicating that numeric data is assessed directly in the results text.",narrative,MATERIALS AND METHODS,"POPC and (S)-(1)-4-isobutyl-a-methylphenylacetic acid ... were co-dissolved in methanol, dried to a thin film under a stream of dry N2...",no,yes,
10.1021/acs.langmuir.2c02497,pH-Responsive Metal-Organic Framework Thin Film for Drug Delivery.,GenAI\papers\pdf\10.1021_acs.langmuir.2c02497__57371a22bd.pdf,text,no,primary_experiment,yes,no,no,unknown,unknown,uncertain,uncertain,unknown,yes,yes,Results section,no,narrative,"page 1, Results section",the amount of drug released in acidic environments had been significantly higher compared to that in a neutral system within 55 h of testing time.,narrative,"page 1, Experimental section",A fully functionalized gold sample loaded with ibuprofen was immersed in 60 mL of PBS with 0.5% Tween 20 at room temperature across varying lengths of time.,no,no,The study does not report use of a diffusion cell and lacks IVPT/IVRT terminology.
10.1021/acs.molpharmaceut.0c00515,Poly(caprolactone)-Based Coatings on 3D-Printed Biodegradable Implants: A Novel Strategy to Prolong Delivery of Hydrophilic Drugs.,GenAI\papers\pdf\10.1021_acs.molpharmaceut.0c00515__ab30082c93.pdf,text,yes,primary_experiment,yes,yes,uncertain,Section 2.2.5 - In Vitro Release,unknown,IVPT,both,PCL-based coatings on implants,yes,yes,Section 3.2 - PCL Film Characterization,no,narrative,Section 3.2 - PCL Film Characterization,Total drug release at each time point was calculated...,table_text,Table 1,Composition of Polymeric Films Prepared by Solution Casting,no,no,
10.1021/acs.molpharmaceut.1c00988,Elucidating the Impact of Surfactants on the Performance of Dissolving Microneedle Array Patches.,GenAI\papers\pdf\10.1021_acs.molpharmaceut.1c00988__320ca28dae.pdf,text,yes,primary_experiment,yes,yes,yes,"Page 4, Section 2.10","Page 3, Figure 3",IVPT,skin,full-thickness neonatal porcine skin,yes,yes,"Page 5, Results Section 3.1",no,narrative,"Page 5, Results Section 3.1","""The incorporation of surfactant enhanced the amount of ibuprofen sodium delivered from 60.61% up to ≈75%""",table_text,Page 3,"""Table 1 outlines the formulation for Dissolving MAP Preparation""",no,no,Study focuses on surfactant impacts on ibuprofen sodium-loaded dissolving MAPs.
10.1021/acsami.4c00383,Coated Cotton Fabrics with Antibacterial and Anti-Inflammatory Silica Nanoparticles for Improving Wound Healing.,GenAI\papers\pdf\10.1021_acsami.4c00383__86c11b19c2.pdf,text,no,primary_experiment,yes,no,no,,,uncertain,uncertain,,yes,yes,Table 2,no,table_text,Table 2,release (%) of ibuprofen and norfloxacin from SiO2@Norflox-Ibu (TEOS/2c 40:1) after treatment with proteases over 24 and 48 hours are presented.,table_text,Table 1,Characterization Data of Functionalized Silica Nanoparticles including drug loading and particle size.,yes,no,
10.1021/acsami.4c16675,Solution Blow Spun Mats with Beaded-Fiber Morphologies as a Drug Delivery System with Potential Use for Skin Wound Dressing.,GenAI\papers\pdf\10.1021_acsami.4c16675__86eb1f4451.pdf,text,no,primary_experiment,yes,no,no,,,IVPT,skin,PCL/PEG mats,yes,yes,"Page 4, In Vitro Ibuprofen Release Studies section",no,narrative,"Page 4, In Vitro Ibuprofen Release Studies section","""At time intervals of 0.5, 1, 2, 3, 4, 5, 24, and 48 h, 2 mL of the solution was withdrawn...""",table_text,"Page 2, Table 1","""Table 1. Samples and the Respective Composition of the Solutions Used To Spin...""",no,no,
10.1021/acsomega.7b01800,Drug-Loaded Supramolecular Gels Prepared in a Microfluidic Platform: Distinctive Rheology and Delivery through Controlled Far-from-Equilibrium Mixing.,GenAI\papers\pdf\10.1021_acsomega.7b01800__9d283ba697.pdf,text,yes,primary_experiment,yes,yes,no,Microfluidic chips section,N/A,IVPT,both,"Gel formed with ibuprofen sodium salt, Gel formation using microfluidic mixing",yes,yes,"Results section, Table 2",no,table_text,Table 2 shows microfluidic mixing gelation experiments and outcomes.,"Table 2 details the flow rates, gel formation status, and gelation times for various conditions.",table_text,Table 1 presents experimental conditions for bulk mixing gelation.,Table 1 includes gelator/ibuprofen ratios and gel formation outcomes.,no,no,
10.1021/acsomega.8b00185,Toward Understanding Drug Incorporation and Delivery from Biocompatible Metal-Organic Frameworks in View of Cutaneous Administration.,GenAI\papers\pdf\10.1021_acsomega.8b00185__4bbfba07e6.pdf,text,yes,primary_experiment,yes,yes,no,Section 2.2,uncertain,both,uncertain,not specified,yes,yes,Figure 3 and Table 1,no,table_text,Table 1,Table 1 shows textural properties of MOFs before and after drug adsorption process.,table_text,Table 1,Table 1 includes total drug loading (wt % and mol·mol−1) and estimated occupancy volume of a single drug molecule.,no,no,
10.1021/acsomega.9b01139,Synthesis and Functionalization of Porous Zr-Diaminostilbenedicarboxylate Metal-Organic Framework for Storage and Stable Delivery of Ibuprofen.,GenAI\papers\pdf\10.1021_acsomega.9b01139__d21daeb09a.pdf,text,no,primary_experiment,yes,no,no,,,IVPT,uncertain,,yes,yes,Results,no,table_text,Table 3,Table 3 provides quantitative results for loading capacities and adsorption parameters.,table_text,Table 2,Table 2 summarizes the concentrations of −COOH groups determined by acid−base titration and yields of modification of Zr-DASDCA.,no,no,This study focuses on the delivery of ibuprofen using modified Zr-MOFs.
10.1021/acsomega.9b03696,Tuning Crystal Structures of Iron-Based Metal-Organic Frameworks for Drug Delivery Applications.,GenAI\papers\pdf\10.1021_acsomega.9b03696__93213756c4.pdf,figure,no,primary_experiment,yes,no,no,,,IVPT,uncertain,,yes,yes,Figure 5,no,figure,Figure 5 displays the cumulative ibuprofen released from treated MIL-53 and MIL-88B as a function of an immersing time.,"Figure 5 shows the cumulative drug release percentages for ibuprofen over time, indicating elution at multiple time points.",unknown,,,no,no,
10.1021/mp500264e,Crystallographic textures and morphologies of solution cast Ibuprofen composite films at solid surfaces.,GenAI\papers\pdf\10.1021_mp500264e__0344a1a460.pdf,figure,no,primary_experiment,yes,no,no,,,IVPT,uncertain,,yes,yes,PAGE 6,no,figure,"Figure 6 shows the ibuprofen dissolution from various matrix materials as a function of time, incorporating IVPT metrics.",The released Ibu amount is very similar to the MC sample after and is about 30 mg.,narrative,Text in the Results section describes the formulation details and dissolution results.,Dissolution experiments demonstrated the impact of the matrix material on the API release.,no,no,
10.1038/s41467-017-00763-6,Printing of small molecular medicines from the vapor phase.,GenAI\papers\pdf\10.1038_s41467-017-00763-6__d818b9d77d.pdf,text,yes,primary_experiment,yes,yes,no,"Page 1, paragraph 1 discusses various delivery vehicles including transdermal systems and microneedles.",uncertain,IVPT,both,"Glasses, Tegaderm, and microneedles",yes,yes,"Page 7, last paragraph discusses dissolution rates and comparisons over time.",no,narrative,"Page 7, paragraph where dissolution rates are discussed.","""...the initial dissolution rates in films is very rapid and constant up to ~80% of the film being dissolved.""",table_text,"Table 1 on Page 3, summarizes OVJP processing conditions.","""Table 1 summarizes OVJP processing conditions for materials used in the study.""",no,no,The study demonstrates significant enhancement in dissolution rate of ibuprofen through vapor jet printing.
10.1038/s41598-017-03195-w,Sustained release from a metal - Analgesics entrapped within biocidal silver.,GenAI\papers\pdf\10.1038_s41598-017-03195-w__88e14f492f.pdf,text,no,primary_experiment,yes,no,no,unknown,unknown,uncertain,uncertain,unknown,yes,yes,Table 2,no,table_text,Table 2,Table 2 collects the parameters of the release profiles of the entrapped NSAIDs.,table_text,Table 1,Table 1 shows some details of the sustained release measurements.,no,no,
10.1038/s41598-020-74885-1,Fabrication of tri-layered electrospun polycaprolactone mats with improved sustained drug release profile.,GenAI\papers\pdf\10.1038_s41598-020-74885-1__7b671a04bd.pdf,figure,no,primary_experiment,yes,no,no,,,IVPT,uncertain,,yes,yes,PAGE 7,no,figure,Figure 7,Cumulative (%) IBU release for 62 days. Cumulative (%) release comparison for all groups.,table_text,Table 1,Composition of sandwich and non-sandwich mats.,no,no,
10.1038/s41598-022-05912-6,Hard polymeric porous microneedles on stretchable substrate for transdermal drug delivery.,GenAI\papers\pdf\10.1038_s41598-022-05912-6__a14138d102.pdf,text,yes,primary_experiment,yes,yes,no,Page 5 (in vitro drug release of lidocaine and ibuprofen microneedles),uncertain,IVPT,skin,porcine skin,yes,yes,Page 4,no,table_text,Page 4,The release profile shows that each patch (containing 100 microneedles) roughly releases 1 mg of drug in DPBS solution after 2 h by dissolution-diffusion mechanism.,supplement,Page 4,We performed a detailed release study in DPBS medium for both Ibuprofen and Lidocaine microneedle patches.,no,no,
10.1038/s41598-024-57883-5,Compatibilizing of cotton fabric with hydrophobic drug cover layer for anti-inflammatory performance with the implementation of ibuprofen.,GenAI\papers\pdf\10.1038_s41598-024-57883-5__112cba5049.pdf,text,no,primary_experiment,yes,no,no,,,uncertain,uncertain,cotton fabric,yes,yes,Results section,no,narrative,Results section,"""The theoretical amount of loaded ibuprofen results from the proportion of the drug in correlation to the amount of cotton fabric used and is 1 mg/cm2.""",unknown,,,no,yes,
10.1038/s41598-024-71609-7,"Ultrasonic synthesis, characterization, DFT and molecular docking of a biocompatible Zn-based MOF as a potential antimicrobial, anti-inflammatory and antitumor agent.",GenAI\papers\pdf\10.1038_s41598-024-71609-7__22f203f8b1.pdf,text,no,primary_experiment,yes,no,no,unknown,unknown,uncertain,uncertain,unknown,yes,no,narrative,no,narrative,PAGE 1,The anti-inflammatory treatment of Zn-MOF achieved 75.0% efficiency relative to the standard Ibuprofen drug.,unknown,unknown,unknown,no,no,
10.1038/s41598-024-82564-8,Design and optimization of hollow microneedle spacing for three materials using finite element methods.,GenAI\papers\pdf\10.1038_s41598-024-82564-8__1f27a4aa14.pdf,figure,no,primary_experiment,yes,yes,no,PAGE 11,unknown,IVPT,skin,skin model,yes,no,PAGE 12,no,figure,PAGE 11,The velocity variations were shown in Fig. 19. We found that the initial velocity of fluid increased with increasing pressure at the inlet.,narrative,PAGE 12,The fluid in the lumen is water and lidocaine ibuprofen ([Lid][Ibp]).,no,no,"Study focuses on microneedle design, including ibuprofen properties and flow dynamics."
10.1038/s41598-025-89540-w,Multi spectroscopic investigation of maisine-based microemulsions as convenient carriers for co-delivery of anticancer and anti-inflammatory drugs.,GenAI\papers\pdf\10.1038_s41598-025-89540-w__8b4b299fb0.pdf,text,yes,primary_experiment,yes,yes,uncertain,methods section,unknown,IVRT,both,"microemulsions, liposomes",yes,yes,Results section,no,table_text,Table 2,Table 2 lists the final composition of the nine drug(s)-loaded MEs and the free drug MEs used in this study.,table_text,Table 1,Table 1 shows the different formulations and compositions used in the study.,no,no,"Study investigates ibuprofen in microemulsions and liposomes, assessing release behaviors."
10.1038/sj.bjp.0702427,"In vitro prostanoid release from spinal cord following peripheral inflammation: effects of substance P, NMDA and capsaicin.",GenAI\papers\pdf\10.1038_sj.bjp.0702427__4215057e1b.pdf,text,no,primary_experiment,yes,no,no,unknown,unknown,uncertain,uncertain,unknown,yes,yes,Results Section,no,narrative,PAGE 5 (Results Section),Capsaicin-evoked PGE2 release was signi®cantly decreased by S(+) ibuprofen in a dose-dependent manner.,unknown,PAGE 2 (Methods Section),S(+) ibuprofen was dissolved to 5 mg ml71 in 100% w v71 dimethyl sulphoxide.,no,yes,Insufficient information on diffusion cells or explicit Franz cells.
