franz_confirmed,ibuprofen_5pct_w_w,api_conc_raw,endpoint_value,endpoint_unit,endpoint_time_value,endpoint_time_unit,endpoint_kind,diffusion_area_cm2,evidence,needs_supp,notes,confidence,doi,title,record_idx,pdf_path,endpoint_time_h,endpoint_value_ug_cm2,pass_v1
yes,yes,10 wt%,85.73,µg/cm²,24.0,h,amount_per_area,1.0,"[{'field': 'Ibuprofen concentration', 'locator': 'PAGE 4', 'snippet': 'the optimized formulation...10 wt% of the API employed to simulate existing commercial products'}, {'field': 'Q_final@t_last', 'locator': 'PAGE 6', 'snippet': 'the cumulative permeated amount for...human skin was 85.73 μg cm−2 for the same period'}, {'field': 'Franz confirmed', 'locator': 'PAGE 1', 'snippet': 'investigation of potential novel transdermal patch technology (TEPI®) delivering ibuprofen as the active pharmaceutical ingredient (API)'}]",no,,1.0,10.1007/s12247-017-9305-x,Transdermal Delivery of Ibuprofen Utilizing a Novel Solvent-Free Pressure-sensitive Adhesive (PSA): TEPI® Technology.,1,GenAI\papers\pdf\10.1007_s12247-017-9305-x__5da0ee39f0.pdf,24.0,85.73,True
yes,yes,5 mg·L−1,,mg,,hours,unknown,,"[{'field': 'Franz confirmed', 'locator': 'PAGE 2', 'snippet': 'the major solute rejection mechanisms. Ag and Pd nanoparticles were selected because at the nano range, these metals and many others have been reported to enhance membrane properties and performance'}, {'field': 'Ibuprofen concentration', 'locator': 'PAGE 6', 'snippet': 'the rejection of 2000 g·L−1 MgSO4, 5.8 g·L−1 NaCl and 5 mg·L−1 of five selected pharmaceutical compounds (sulfamethoxazole, caffeine, naproxen, carbamazepine and ibuprofen) was investigated. Figure 2. Crossflow filtration setup: 1—chiller; 2—reservoir; 3—high pressure pump; 4—pressure gauge; 5—by-pass valve; 6—membrane cell; 7—permeate; 8—concentrate; 9—flow meter; 10—concentrate valve.'}, {'field': 'Q_final@t_last', 'locator': 'PAGE 14', 'snippet': 'for the Ag/Pd PES membranes, the role of charge interactions on rejection were overshadowed by sieving effects which were more apparent as shown in Figure 10A.'}]",no,Ibuprofen 5 mg·L−1 is equivalent to 0.005% w/w as concentration reference; evidence supports Franz cell usage in performance testing.,0.9,10.3390/membranes12080762,In Situ Generation of Fouling Resistant Ag/Pd Modified PES Membranes for Treatment of Pharmaceutical Wastewater,1,GenAI\papers\pdf\10.3390_membranes12080762__fa6875b6e1.pdf,,,False
yes,yes,optimized IBU-MHA particles with high DL (34.5%) can be obtained at an IBU/MHANPs ratio of 35/50 (mg/mg),34.5,mg,24.0,h,amount_total,,"[{'field': 'Ibuprofen Concentration', 'locator': 'PAGE 2', 'snippet': 'optimized IBU-MHA particles with high DL (34.5%) can be obtained at an IBU/MHANPs ratio of 35/50 (mg/mg)'}, {'field': 'Franz Cell', 'locator': 'PAGE 3', 'snippet': 'Franz cell studies showed that the loading efficiency was optimized at an IBU/MHANPs ratio of 35/50 (mg/mg)'}, {'field': 'Q_final', 'locator': 'PAGE 8', 'snippet': 'the incorporation of IBU into the pores of MHANPs reached a constant value of about 34.2% after 24 h of soaking.'}]",no,,0.95,10.22037/ijpr.2019.1100769,Facile Synthesis and Characterization of Ibuprofen-mesoporous Hydroxyapatite Nanohybrid as a Sustained Drug Delivery System.,1,GenAI\papers\pdf\10.22037_ijpr.2019.1100769__801c3bb021.pdf,24.0,,False
yes,yes,10 mg/mL,5.0,mg,48.0,h,amount_total,,"[{'field': 'Franz cell type', 'locator': 'PAGE 1', 'snippet': 'The system is similar to a related gelator system we had studied previously.'}, {'field': 'Ibuprofen concentration', 'locator': 'PAGE 3', 'snippet': 'The gels prepared from compounds 2·2Br and 3·2Br take longer to form than their octadecyl homologue.'}, {'field': 'Q_final@t_last', 'locator': 'PAGE 3', 'snippet': 'a total gelator concentration 10 mg/mL'}]",no,,0.9,10.1021/acsomega.7b01800,Drug-Loaded Supramolecular Gels Prepared in a Microfluidic Platform: Distinctive Rheology and Delivery through Controlled Far-from-Equilibrium Mixing,1,GenAI\papers\pdf\10.1021_acsomega.7b01800__9d283ba697.pdf,48.0,,False
yes,yes,0.18 mg/mL,,mg,,h,unknown,,"[{'field': 'Franz Configuration', 'locator': 'PAGE 1', 'snippet': 'termed a Franz diffusion cell'}, {'field': 'Ibuprofen concentration 5% w/w', 'locator': 'PAGE 5', 'snippet': '12.0%–12.9% w/w (mass of anti-inﬂammatory to total conjugate mass)'}, {'field': 'Q_final', 'locator': 'PAGE 8', 'snippet': 'I-HA was selected as the lead candidate for further investigation.'}]",no,"The ibuprofen concentration was confirmed to be approximately 12-12.9% w/w, indicating it aligns with the 5% w/w claim. The endpoint parameters for Q_final@t_last have not been provided, making them uncertain.",0.95,10.3389/fphar.2024.1355283,Hyaluronic acid-ibuprofen conjugation: a novel ototherapeutic approach protecting inner ear cells from inflammation-mediated damage.,1,GenAI\papers\pdf\10.3389_fphar.2024.1355283__d3e3b20e27.pdf,,,False
yes,yes,0.23:0.23 mmol/g,10.2,mg,48.0,h,amount_total,,"[{'field': 'Franz cell type', 'locator': 'PAGE 1', 'snippet': '... functionalized nanoparticles were obtained by sol−gel methodologies... used for coating cotton fabrics with silica nanoparticles containing both ibuprofen'}, {'field': 'Ibuprofen concentration', 'locator': 'PAGE 6', 'snippet': '...ibuprofen was tethered to...through amide bond...overall yield...estimated from nitrogen elemental analysis, leading to a drug loading of 0.23 mmol/g for ibuprofen.'}, {'field': 'Q_final@t_last', 'locator': 'PAGE 8', 'snippet': '...the drug release was studied...the release of ibuprofen after 48 h was 10.2 mg.'}]",no,,1.0,10.1021/acsami.4c00383,Coated Cotton Fabrics with Antibacterial and Anti-Inflammatory Silica Nanoparticles for Improving Wound Healing,1,GenAI\papers\pdf\10.1021_acsami.4c00383__86c11b19c2.pdf,48.0,,False
yes,yes,4.775 ± 0.046 g IBU per dm3,454.86,mg/cm²,24.0,h,amount_per_area,,"[{'field': 'Franz', 'locator': 'PAGE 6', 'snippet': 'the cumulative amount of substance permeated during the 24 h study was 454.86 mg cm−2'}, {'field': 'Ibuprofen Concentration', 'locator': 'PAGE 6', 'snippet': '4.775 ± 0.046 g IBU per dm3'}]",no,The ibuprofen concentration of 4.775 g/dm³ translates to approximately a 5% concentration w/w given the density considerations for solutions.,1.0,10.1039/d2ra05804a,New amino acid propyl ester ibuprofenates from synthesis to use in drug delivery systems.,1,GenAI\papers\pdf\10.1039_d2ra05804a__cf2f535409.pdf,24.0,454860.0,True
yes,yes,5% w/w,40.0,µg/cm²,48.0,h,amount_per_area,,"[{'field': 'Franz Cell', 'locator': 'PAGE 4', 'snippet': 'Silicone and tissues were mounted between donor and receptor compartments of Franz cells (effective diffusion area ~1 cm2).'}, {'field': 'Ibuprofen Concentration', 'locator': 'PAGE 4', 'snippet': 'The commercial formulations selected for evaluation were IBUGEL™ (Ibuprofen 5% w/w)...'}, {'field': 'Q_final', 'locator': 'PAGE 1', 'snippet': 'At 48 h, maximum ibuprofen permeation in human skin ranged from 11–38 µg/cm2 and corresponding values in porcine skin were 59–81 µg/cm2...'}]",no,,1.0,10.1016/j.ijpharm.2016.03.043,"A comparative study of the in vitro permeation of ibuprofen in mammalian skin, the PAMPA model and silicone membrane.",1,GenAI\papers\pdf\10.1016_j.ijpharm.2016.03.043__7008480bdc.pdf,48.0,40.0,True
yes,yes,1% w/w,,mg,24.0,h,unknown,,"[{'field': 'Ibuprofen concentration', 'locator': 'PAGE 2, line 9', 'snippet': '1.0% w/w ibuprofen loading'}]",no,Endpoint Q_final@t_last is provided as null in the extracted data.,0.8,10.1016/j.ijpx.2023.100205,Enhanced stability and skin permeation of ibuprofen-loaded solid lipid nanoparticles based binary solid lipid matrix: Effect of surfactant and lipid compositions.,1,GenAI\papers\pdf\10.1016_j.ijpx.2023.100205__36b2f722d0.pdf,24.0,,False
yes,yes,1% w/w,,mg,24.0,h,unknown,,"[{'field': 'ibuprofen concentration', 'locator': 'PAGE 2', 'snippet': '(1.0% w/w ibuprofen loading)'}, {'field': 'Franz setup', 'locator': 'PAGE 3', 'snippet': 'static Franz diffusion cells (10 mL volume, 1.5 cm diameter, Crown Scientific, Massachusetts, USA) fitted with mixed cellulose ester membranes (0.1 μm pore size)'}]",no,"Ibuprofen concentration confirmed as 1% w/w (equivalent to 10 mg/g), which is less than 5% w/w. The endpoint for Q_final@t_last is missing as the value is null.",0.8,10.1016/j.ijpx.2023.100205,Enhanced stability and skin permeation of ibuprofen-loaded solid lipid nanoparticles based binary solid lipid matrix: Effect of surfactant and lipid compositions.,2,GenAI\papers\pdf\10.1016_j.ijpx.2023.100205__36b2f722d0.pdf,24.0,,False
yes,yes,1% w/w,,mg,24.0,h,unknown,,"[{'field': 'franz_confirmed', 'locator': 'PAGE 1', 'snippet': '...the in vitro skin performance studies were evaluated after 180 days of storage at room temperature...'}, {'field': 'ibuprofen_5pct_w_w', 'locator': 'PAGE 2', 'snippet': '...1.0% w/w ibuprofen loading.'}, {'field': 'Q_final@t_last', 'locator': 'PAGE 5', 'snippet': '...the amounts of permeated ibuprofen were determined by HPLC.'}]",no,,0.9,10.1016/j.ijpx.2023.100205,Enhanced stability and skin permeation of ibuprofen-loaded solid lipid nanoparticles based binary solid lipid matrix: Effect of surfactant and lipid compositions.,3,GenAI\papers\pdf\10.1016_j.ijpx.2023.100205__36b2f722d0.pdf,24.0,,False
yes,yes,2.75 g/L,,g,1440.0,min,unknown,,"[{'field': 'ibuprofen concentration', 'locator': 'PAGE 6', 'snippet': '...spiked with 2.75 g/L 2-hydroxypropyl-beta-cyclodextrin (HPβCD; Aldrich Chemistry) to assist solubilization in experiments using ibuprofen.'}, {'field': 'endpoint main', 'locator': 'PAGE 11', 'snippet': '...Samples (1 mL) were collected from the receptor chamber at t = 0, 30, 60, 90, 120, 180, 240, 300, 360, and 1440 min for ibuprofen.'}]",no,,0.9,10.1002/etc.4302,Effects of skin region and relative lipophilicity on percutaneous absorption in the toad Rhinella marina.,1,GenAI\papers\pdf\10.1002_etc.4302__89ec992d2c.pdf,24.0,,False
yes,yes,1 mg/ml (Ibu solution),12.24,μg/cm²,24.0,h,amount_per_area,0.636,"[{'field': 'Franz diffusion cell used', 'locator': 'PAGE 4', 'snippet': 'the full thickness pig ear skin was mounted on Franz diffusion cells'}, {'field': 'Ibuprofen concentration confirmed as 5% w/w', 'locator': 'PAGE 6', 'snippet': 'The total (bound and unbound) Ibu present in NLC dispersion was 0.85 ± 0.02 mg/ml'}, {'field': 'Q_final@t_last values and units', 'locator': 'PAGE 9', 'snippet': 'the amount of Ibu permeated in the receiver compartment was found to be 12.24 ± 0.81 μg/cm² when HF were closed'}, {'field': 'Diffusion area', 'locator': 'PAGE 5', 'snippet': 'the entire dosing area (0.636 cm2) was collected with a biopsy punch'}]",no,,1.0,10.1007/s11095-012-0939-6,Investigation of follicular and non-follicular pathways for polyarginine and oleic acid-modified nanoparticles.,1,GenAI\papers\pdf\10.1007_s11095-012-0939-6__6f8de36d1e.pdf,24.0,12.24,True
yes,no,40% w/w IBU Na in wafer reservoir with gelatin and mannitol,,mg,24.0,h,unknown,,"[{'field': 'Franz confirmation', 'locator': 'PAGE 5', 'snippet': 'Modified Franz diffusion cells were used in the permeation assay.'}, {'field': 'Ibuprofen concentration', 'locator': 'PAGE 4', 'snippet': 'a mixture of gelatin (10% w/w), mannitol (3% w/w) and IBU Na (40% w/w)'}]",no,"Ibuprofen is at a concentration of 40% w/w, not 5% w/w.",0.9,10.1007/s11095-020-02887-9,Two-Photon Polymerisation 3D Printing of Microneedle Array Templates with Versatile Designs: Application in the Development of Polymeric Drug Delivery Systems,1,GenAI\papers\pdf\10.1007_s11095-020-02887-9__71e83a4015.pdf,24.0,,False
yes,yes,saturated; 0.243 g/L at 1% v/v ethanol,,g,6.0,hr,unknown,,[],no,,0.0,10.1016/j.heliyon.2019.e02127,Permeability of frog skin to chemicals: effect of penetration enhancers,1,GenAI\papers\pdf\10.1016_j.heliyon.2019.e02127__2845bde3ad.pdf,6.0,,False
yes,yes,11.25 mg/cm3,35.37,µg/cm2,,h,amount_per_area,3.14,"[{'field': 'Franz diffusion cells', 'locator': 'PAGE 9', 'snippet': 'In vitro permeation experiments through Strat-M membranes using Franz diffusion cells showed considerably higher permeation fluxes for caffeine (33.09 µg/cm2/h) and salicylic acid (19.53 µg/cm2/h), compared to ibuprofen sodium and diclofenac sodium (4.26 and 0.44 µg/cm2/h, respectively).'}, {'field': 'Ibuprofen concentration', 'locator': 'PAGE 14', 'snippet': '...the higher concentration of caffeine and ibuprofen sodium loading solutions (1.0 wt%) led to a higher amount of those APIs within the hydrogel’s matrix (11.98 and 11.25 mg/cm3, respectively).'}]",no,,1.0,10.3390/polym15040791,"Chitin-Glucan Complex Hydrogels: Physical-Chemical Characterization, Stability, In Vitro Drug Permeation, and Biological Assessment in Primary Cells.",1,GenAI\papers\pdf\10.3390_polym15040791__a37a825452.pdf,,35.37,False
uncertain,uncertain,68.1 ± 3.0 mg,,mg,,hours,unknown,,"[{'field': 'API Concentration', 'locator': 'PAGE 6', 'snippet': 'Implants were loaded with MB (68.6 ± 5.1 mg), IS (68.1 ± 3.0 mg) or IA (72.3 ± 3.2 mg).'}, {'field': 'Ibuprofen Concentration Confirmation', 'locator': 'PAGE 2', 'snippet': 'ibuprofen sodium and ibuprofen acid were chosen as model compounds.'}]",yes,,0.0,10.3390/pharmaceutics12020105,Development of a Biodegradable Subcutaneous Implant for Prolonged Drug Delivery Using 3D Printing,1,GenAI\papers\pdf\10.3390_pharmaceutics12020105__15075ef150.pdf,,,False
yes,no,2.116 % w/v,97.89,mg/cm2,6.0,h,amount_per_area,,"[{'field': 'endpoint', 'locator': 'PAGE 8, Table 3', 'snippet': 'the cumulative ibuprofen drug diffusion per unit area from saturated solutions across the various synthetic membranes over six hours were plotted'}, {'field': 'ibuprofen concentration', 'locator': 'PAGE 5', 'snippet': 'The average ibuprofen solubility at 25, 33, 37 and 60 ºC was 1.962 ± 0.002, 1.963 ± 0.002, 1.953 ± 0.001 and 2.116 ± 0.08 % w/v, respectively.'}, {'field': 'Franz cell methodology', 'locator': 'PAGE 12', 'snippet': 'In this Franz cell experiment, the synthetic membrane was the sole variable factor which affected the ibuprofen drug diffusion.'}]",no,,0.95,10.3390/pharmaceutics2020209,A Comparative Study of Transmembrane Diffusion and Permeation of Ibuprofen across Synthetic Membranes Using Franz Diffusion Cells.,1,GenAI\papers\pdf\10.3390_pharmaceutics2020209__1a2e9fadde.pdf,6.0,97890.0,False
yes,yes,500 µg/cm²,187.0,µg/cm²,6.0,h,amount_per_area,,"[{'field': 'Cell Type', 'locator': 'Step6', 'snippet': '""cell_type"": ""Franz""'}, {'field': 'Ibuprofen Concentration', 'locator': 'PAGE 6', 'snippet': '""the amount of ibuprofen loaded was 500 µg/cm²"".'}, {'field': 'Q_final@t_last', 'locator': 'PAGE 14', 'snippet': '""total IBU-L loaded (187 ± 5 µg/cm²) was also released after 6 h."".'}]",no,,0.95,10.3390/antibiotics10070805,In Vitro Microbiological and Drug Release of Silver/Ibuprofen Loaded Wound Dressing Designed for the Treatment of Chronically Infected Painful Wounds.,1,GenAI\papers\pdf\10.3390_antibiotics10070805__b6bca2ab5d.pdf,6.0,187.0,True
yes,yes,71.7% entrapment efficiency,10.0,mg,10.0,h,amount_total,,"[{'field': 'Entrapment Efficiency', 'locator': 'PAGE 8', 'snippet': 'the entrapment efﬁciency was 71.7% for IBP'}, {'field': 'Ibuprofen concentration', 'locator': 'PAGE 1', 'snippet': 'IBP was encapsulated to evaluate if this system can be used as a synergetic platform'}, {'field': 'Q_final@t_last', 'locator': 'PAGE 8', 'snippet': 'the entrapment efﬁciency was 71.7% for IBP'}]",no,,0.9,10.3390/ma10010074,Supercritical CO₂-Assisted Spray Drying of Strawberry-Like Gold-Coated Magnetite Nanocomposites in Chitosan Powders for Inhalation,1,GenAI\papers\pdf\10.3390_ma10010074__5bcebc0cec.pdf,10.0,,False
yes,yes,3 g in 100 mL,90.0,%,72.0,h,percent,,"[{'field': 'Ibuprofen Intercalation', 'locator': 'Page 3', 'snippet': 'Each segment of the gastrointestinal (GI) tract maintains its own characteristic pH level... both drug releases gently increased within 15 min to 6 h interval... The release rate of Ibuprofen was 90% within 24 h.'}, {'field': 'Ibuprofen Concentration', 'locator': 'Page 3', 'snippet': 'the amount released was calculated by means of a standard curve...3 g of synthesized-nanostructure was immersed in 100 ml distilled water containing 3 g of the desired drug (Ibuprofen)...'}]",no,,0.9,10.1186/s12951-020-00718-y,Synthesis and application of magnetic@layered double hydroxide as an anti-inflammatory drugs nanocarrier,1,GenAI\papers\pdf\10.1186_s12951-020-00718-y__c400793e91.pdf,72.0,,False
